,,Mr Hunter,,
1779,,,,
Janr 10,N6.1,Ciceronis Opera Graevii Toms,"""",Ciceronis opera Graevii
,,"6,7,8,9,10,11",,6.7.8.9th.10.11th ----
J ---,J7.22,Virgil Variorum 3 Tom.,"""",Virgil Variorum 3 toms
,F.21,Virgil de la Cerda,"""",Virgil de la Cerda
Feb.4,L8.4,Beaties Essays,"""",Beaties Essays
March,N.4.24,Livius par Crevier Tom. 1.2,"""",Livius par Crevier Tom 1.2nd
"""",N4.21,Quinctilianus Burmanni,Tom 1.2.,Quinctilian. Bur. Tom 1.2nd.
,Not Ent,Virgilius Ambroggi To. 1.,"""",Virgilus ambroggi Tom 1st
May 1st,Not Ent,Cooks Voyages 1.2nd Vol,"""",Cooke's Voyages 1.2nd V
13,C2.2,Monde primitie de Gibb. Tom 2nd,,Monde primit Vol 2nd
14,J7.22,Virgilius Variorum Tom 1st,,Virgilius Var. Tom 1st
,F2.1,---- de la Cerda Tom 1st 2nd,,-- D' de la Cerda 1.2nd
,,Monthly Review tom 48,,Monthly Rev. 48
,M.6.23,Virgil. Burmanni Tom 1 & 2nd,,Virgil. Burmanni 1.2nd
,M6.25,Tacitus Gronovii 1.2. Tom. x,"""",Tacitus Gro. 1.2nd Tom
,,Tacitus Brotieri 4 vols. x,"""",Tacitus Brolieri
Octr 28,A6.7,Tables on ancient coins,,Tables on Anc. Coins
"""",P4.35,Salustii Vol 1st,,Salustii Vol. 1st
"""",N4.25,Terentius Wester. Tom 1.2nd,,Terentius Wester. 1.2nd
"""",N4.24,T. Livius Crevii Tom 1.2.3.4,5.6 V,Titus Livius Crevii 6 Vols
Novr 2,C4.30,Dicksons Agriculture 1.2nd V.,,Dickson's Agriculture
18,A3.10,Millers Garders Dictr. 1.2md V,,Millers Gar. Dict. 1.2nd V
Decr 12,G5.10,Stanyans hist. 1.2nd Vol,Janr 5 1779,Stanyan's hist. 1.2nd Vol
,,Jo: Hunter,,
17,P.3.24,Aul.Gellius Gronovii JH,,Aul. Gellius Gron.
31,G7.16,Smiths Wealth of Nations 1.2nd V.,,Smith's Wealth of nations 1 & 2
"""",Q4.23,origin of the G. Tongue. Jo: Hunter,"""",origin of the Gre. Tongue
"""",B5.24,Sharps Dissertations JH,"""",Sharp's Disssertations
1779,,,,
Janr 13,L8.14,Fool of Quality 1.2.3.4th V.,Janr. 14,Fool of Quality 1.2.3.4th V
14,J9.25,The Man of the World 1.2nd V. JH,22,The man of the World 1.2nd V
Feb. 6,C2.22,Robertsons of America 1.2nd V,"""",Robertson hist. 1.2nd ---
,I7.1,Monthly review V. 39th,,Monthly Rev. 39
"""",E6.28,Armstrongs Essay JH,,Armstrong's Essay
,Holliss's,Desaguiliers phi. Vol 2nd,"""",Desaguiliers phi V2nd
,,Nollets Expe. philosophy,,Nollets -----
,G5.2,Dialogues of the Dead,,Dialogues of the Dead
,G3. .,Humph. Clink 1.2 Jo. Hunter,,Humph. Clink. 1.2.3rd
,,& 3rd Vol,,
