1751,154,Borrowed,1751,Returned
,(p. 104),,,
Jan. 28,B.3.10,Poli Synopsis Crit. V. 4<sup>d</sup> pt 2<sup>d</sup>,feb. 11,Poli Synopsis V 4<sup>th</sup> p 2<sup>d</sup>
,H.2.8,Marloratus on Epist.,feb 19,Marloratus on Epist.
,H.4.36,Hammond on the N. Test,feb 11,Hammond on þe N. Test.
,J.2.16,Whitby on the N. Test. V. 2<sup>d</sup> on,feb 11,Whitby on þe N. Test V. 2<sup>d</sup>
,,prinll Murisons order by George Swan,,
29,B.3.11,Pools Annotations Vol 2<sup>d</sup> on the,feb. 11,Pool's Annotations V. 2<sup>d</sup>
,,above order by George Swan,,
Feb 12,C.2.10,Gerhardi Loci Communes Tom. 1<sup>mus</sup>,feb. 15,Gerhardi Loci com. To. 1<sup>mus</sup>
,C.2.22,Socini Scripta polemica on pr. Mu,feb 15,Socini Scripta polemica
,,risons order by George Swan,,
Mar 13,J.5.29,Warburtons div. Legation V. 1<sup>st</sup> & 2<sup>d</sup>,Apr 16,Warburtons div. Leg<sup>n</sup> V. 1<sup>st</sup> & 2<sup>d</sup>
,A.5.14,Addisons Works Vol 4<sup>th</sup> on prinll,Apr 8,Addisons Works V. 4<sup>th</sup>
,,Murisons order by George Swan,,
18,D.3.13,Bezae N. Testamentum Gr Lat on,Apr. 16,Bezae N. Test. Gr Lat.
,,Dr Hadows order by George Swan,,
Apr. 8,A.5.14,Addisons Works Vol 2<sup>d</sup> on prinll,Apr 24,Addisons Works V. 2<sup>d</sup>
,,Murisons order by George Swan,,
10,L.6.14,Conybeares defence of þe Chr. Religion,Apr 24,Conybeare's Defence
,,on profr Shaw's order by George Swan,,
Novr 23,J.3.,Doddridges fam. Expositor V. 2<sup>d</sup> on,Decr 26,Doddridges fam. Exp<sup>r</sup> V 2<sup>d</sup>
,,prinll Murisons order by George Swan,,
26,K.5.8,Knowledge of divine things from Revelation,Dec. 6,Knowledge of div. things
,A.4.3,Echards Church History on prinll,Decr 28,Echards Ch. History
,,Murisons order by George Swan,,
Decr 13,L.2,Tillotsons Sermons Voll 2<sup>d</sup> on prinll,Feb 18,Tillotsons Serm. V. 2<sup>d</sup>
,,Murisons order by George Swan,,
16,K.7.26,Pamphlets Vol. 9<sup>th</sup> on prinll,Jan 28,Pamphlets V. 9<sup>th</sup>
,,Murisons order by George Swan,,
17,E.7.,Spectator Vol 5<sup>th</sup> on the above,Jan 6,Spectator V. 5<sup>th</sup>
,,order by George Swan,,
1752,,,,
Jan. 8,A.3,Pools Annotations Vol 2<sup>d</sup> on the,Jan. 29,Pools Annotations V. 2<sup>d</sup>
,,above order by George Swan,,
16,C.6.,Clarks Sermons Vol. 2<sup>d</sup> & 9<sup>th</sup> on,Jan 27,Clarks Sermons V. 2 & 9<sup>th</sup>
,,the above order by George Swan,,
20,J.2.6,Whitby on the N. Testamt V. 2<sup>d</sup>,Jan 28,Whitby on þe N. Test V. 2<sup>d</sup>
,H.4.26,Hammond on the N. Testamt,Jan 28,Hammond on þe N. Test.
,H.2.8,Marloratus in Epistolas on,Jan 26,Marloratus in Epist.
,,pr Murisons order by George Swan,,
Feb. 10,E.6.55,Clark on the Trinity,Apr 13,Clark on þe Trinity
,C.7.24,Waterland agt Clark on prin.,Apr 13,Waterland ag<sup>t</sup> Clark
,,Murisons order by George Swan,,
,,,p. 162,
,,,,
