,,Professor H.D.Hill,,137
,R.5.13.,Ess. on crim. and puns.,,Ess. on crim. & Puns.
,A.A.4.13.,Reynoldss wk. v. 1st,,Reynolds works V. 1st
,S.5.15.,Dem. orat. Mount.,,Dem. orat. Mount.
,D.5.29.,Lelands Dem. V.1.3. ----,,Lelands Dem. V.1.3.
,N.3.17,Oeuvres de Tourr. V.1.2.,,Oeuvres de Tourr. V.1.2.
,E.6.14.,Dict. de Bomare V.3.,,Dict. de Bomare V.3.
,N.6.12,Taylors Dem. V.2nd,,Taylors Dem. V. 2nd
,S.2.4.,Arist. Vict. Vol. 1.2.,,Arist. Vict. Vol. 1st.2nd
,CC.8.34.,Arist. Rhet.,,Arist. Rhet.
,B.B.9.41.,Arist. Ethic. ----,,Arist. Ethic.
,C.6.22.,Brunck. Anal. V.1st,,Brunck. Anal. V.1st
,O29.,Pontopidom Nat. History of Norway,,Pontopp. Nat. hist. of Norw.
,,Patic Murray,,
,O.6.20,Giann. Hist de Napl. V.3rd.2.,,Giann. Hist. de Napl. V.2.3.
,BB.5.19.,Theocrit. Valck --,,Theocrit. Valck
,D.5.8.,Theocr. opa. Reiske. V.1.2.,,Theocr. opa. Reisk. V.1.2.
,L.8.24,Virg. opa. Heyn. V. 1st.,,Virg. opa. Heyn. V.1st
,BB.2.15.,Bonfinii Histy.,,Bonfinii Hist.
,N.8.3,Popes Works V.1st.,,Popes works. V.1st
,CC.3.8.,Moshs. Eccl. hist. V.3.,,Mosh. Eccl. Hist. V.3rd.
,,Oeuvres de Fonten. V.4th,,Oeuvres de Fonten. V.4th
,D.8.19.,Hist. de Ven. V.9th,,Hist. de Ven. V.5.7.
,B.9.53,Rambler Vol. 1st ----,,Rambler. Vol. 1st
,CC.3.17.,Descrn. du Golfe de Ven.,,Descript. du Golfe de Ven.
,L.5.50,Newts. Theophr ----,,Newtons Theophr
,B.3.16.,Johnsons Dicty. 2 Vols,,Johnsons Dict. V.1.2.
,L.7.28.,Oeuvres de La Bruiere.,,Oeuvres de La Br ---
,O.6.22,Keyslers Travs. V.3rd,,Keyslers Travs. V.3rd
,AA.,Pinkertons Hist. of Scotl. V.1.2,,Pinkertons Hist. of Scotl. V. 1.2.
,E.6.38,Moores Trav. V.1st,,Moores travs. V.1st
,,Bertrands Mem. V.1.2.3.,,Bertrand Mem. Vol 1.2nd
,Q.1.5.,Thucyd. opa.,,Thucyd. opa.
,Q.3.11,Smiths Thucyd. V.1st,,Smiths Thucyd. V.1st
,O.5.6.,Addisons Works. V.2nd,,Addisons Works V. 2nd
,D.8.18.,Harwoods Biogr. Class. V. 1st,,Harwoods Biogr. Class. V.1st
,M.8.13,Oeuvres de Marml. V.2nd,,Oeuvres de Marml. V.2nd
,C.6.20.,Harl. Anth Gr.,,Harles. Anthol. Gr ---
,BB.2.13,Howards Acct. of Lazzs.,,Howards Acct of Lazzs --
Gall.,P.3.11,Scapulae Lex.,,
Gall.,L.2.7.,Cyril. opa. v.2.,,Cyril. opa. V.2nd.
