1750,(117),Borrowed,1750,Returned
,(82),,,
July 16,K.7.26,Pamphlets Vol 5<sup>th</sup>,July 28,pamphlets Vol 5<sup>th</sup>
,,Walter Wilson,,
28,J.5.30,Chandler agt þe Moral philosopher,Augt 4,Chandler ag<sup>t</sup> þe mor<sup>l</sup> philos<sup>r</sup>
,,by Walter Wilson,,
Augt 4,J.5.28,Lowman agt þe Moral philosopher,Oct<sup>r</sup> 6,Lowman ag<sup>t</sup> þe Mor. philos<sup>r</sup>
,,Walter Wilson,,
Sep. 12,E.6.12,"Swifts Miscellanies Vol 1<sup>st</sup>, 2<sup>d</sup> & 3<sup>d</sup>",Nov 7,"Swifts Miscellanies V. 1, 2 & 3<sup>d</sup>"
29,J.5.27,Chapman agt þe Moral philosr 2 Voll,Jan. 2,Chapman ag<sup>t</sup> þe Mor. phil. 2<sup>vs</sup>
Oct<sup>r</sup> 11,A.5.,Bentleii Horatius,June 7,Bentleii Horatius
,J.4.,Watsons Horace Vol. 2<sup>d</sup>,Novr 8,Watsons Horace V. 2<sup>d</sup>
,,Walter Wilson,,
Decr 22,J.6.3,Female Spectator Vol. 1<sup>st</sup> & 2<sup>d</sup>,feb. 18,Female Spectator V. 1 & 2<sup>d</sup>
1751,,,,
Jan. 2,K.8.4,Essais de Theodicee,Mar 11,Essais de Theodicee
,A.4.20,Xenophontis op. Gr Lat,Mar 22,Xenophontis opera gr Lat
,,Walter Wilson,,
9,K.4.14,Universal History Vol 1<sup>st</sup> & 2<sup>d</sup>,feb. 18,Universal Hist. Vol 1 & 2<sup>d</sup>
14,K.3.25,pamphlets Vol 13<sup>th</sup>,Jan. 17,Pamphlets Vol 13<sup>th</sup>
24,K.8.13,Tom Jones Vol 6<sup>th</sup>,Mar 19,Tom Jones V. 6<sup>th</sup>
Feb. 1,L.4.6,Middletons free Enquiry,Oct<sup>r</sup> 18,Middletons free Enquiry
18,L.6.3,Fitzozbornes Letters V. 2<sup>d</sup>,Mar 11,Fitzozbornes Letters V. 2<sup>d</sup>
,L.6.10,Geddes on Composition,Mar 11,Geddes on Composition
,K.4.14,Universal History Vol 3<sup>d</sup>,Mar 30,Univer. Hist. V. 3<sup>d</sup>
,,,p. 161,
1750,(p. 57),Dr Simson,,
July 25,B.3.3,Newmans Concordance,Nov. 26,Newmans Concordance
,F.3.8,Lock on Hum. Understanding,Nov<sup>r</sup> 22,Lock on Hum. Understanding
,A.6.,Rapins Hist. of Engd Vol 7<sup>th</sup>,feb. 26,Rapins Hist. Vol 7<sup>th</sup>
Nov 26,K.4.8,Rollins Rom. Hist. Vol 3<sup>d</sup> on D<sup>r</sup>,Jan. 29,Rollins Rom. Hist. V. 3<sup>d</sup>
,,Simsons order by Pat. Simson,,
Decr 15,K.3.21,Ansons Voyage,Jan. 29,Ansons Voyage
1751,,,,
Jan. 29,K.4.8,Rollins Rom. History Vol. 2<sup>d</sup> on,feb 26,Rollins Rom. Hist. V. 2<sup>d</sup>
,,Dr Simsons order by Rob. Simson,,
Feb. 25,L.3.2,Commentarii Bonomensis 4 Voll,Apr 18,Comment. Bonomens. 4 V<sup>s</sup>
,,Thomas Simson,,
Feb 26,K.4.8,Rollins Rom. Hist. Vol 3<sup>d</sup> & 4<sup>th</sup> on,Mar 12,Rollins Rom. Hist. V. 3 & 4<sup>th</sup>
,,Dr Simsons order by Pat. Simson,,
Mar 12,K.4.8,Rollins Rom. Hist. V. 5<sup>th</sup> & 6<sup>th</sup> on,Mar 23,Rollins Rom. Hist. V 5<sup>th</sup> & 6<sup>th</sup>
,,þe above order by Rob Simson,,
23,K.4.8,Rollins Rom. History V 7<sup>th</sup> & 8<sup>th</sup>,Apr 12,Rollins Rom Hist. V. 7 & 8<sup>th</sup>
,,on þe above order by Rob Simson,,
Apr 12,K.4.8,Rollins Rom. History. V. 9<sup>th</sup> & 10<sup>th</sup>,Apr 11,Rollins Rom Hist. V. 9<sup>th</sup> & 10<sup>th</sup>
,,on þe above order by Rob Simson,,
Apr. 18,L.3.1,Commentarii petropolitani 8<sup>vs</sup>,Octr 18,Comment. petropolit. 8 <sup>vs</sup>
,L.3.29,Acta Lipsiae 1748 & 49,Nov. 23,Acta Lipsiae 1748 & 49
26,F.2.13,Galerii Opera 6 V<sup>s</sup>,Sept.,Galeni opera 6<sup>vs</sup>
,,,(p 176),
,,,,
