1749,(64),Borrowed,1749,Returned
ffeb 22,J.4.32,Martins Medical Essays on,April. 15,Martins Med. Essays
,,Mr Da. Youngs order by,,
,,Rot Halkerston,,
Sep<sup>t</sup> 28,A.3.12,Sidneys Arcadia on Mr David,Jan. 3,Sidney's Arcadia
,,Youngs order by Robert Halkerston,,
1752,,,,
Decr 20,C.6.25,Luptons Sermons,Jan. 15,Lutpons Sermons
,C.6.7,Souths Sermons V. 3,Jan 15,Souths Sermons V. 3<sup>d</sup>
,C.6.56,Wakes Sermons V. 2<sup>d</sup>,Jan. 15,Wakes Sermons V. 2<sup>d</sup>
,E.6.57,Lucas s Sermons 2<sup>d</sup>,Jan. 17,Lucas' Sermons V 2<sup>d</sup>
,K.6.26,Pamphlets V. 9<sup>th</sup> on prinll,Jan. 17,Pamphlets V 9<sup>th</sup>
,,Murisons order by,,
,,Phil: Morison,,
1749,,,,
Mar. 17,J.5.1,Rollins ancient Hist. Vol. 2<sup>d</sup>,Mar 17,Rollins ancient Hist V. 2<sup>d</sup>
,J.4.5,Atterburys Sermons Vol 1<sup>st</sup> on,Mar. 17,Atterburys Sermons V. 1<sup>st</sup>
,,profr Shaw's order by George Lyon,,
11,C.7.2,Burnets Pastoral Care on prin<sup>ll</sup>,Mar 17,Burnets pastoral Care
,,Murisons order by George Lyon,,
17,J.8.10,Sophocles Tragaediae Gr Lat,Mar. 17,Sophocles Tragaediae Gr Lat.
,E.6.37,Memorable things of Socrates on prinll,Mar. 17,Memorable things of Socrates
,,Murisons order by George Lyon,,
Decr 1,C.7.20,Chrysostom on the Priesthood,Decr 9,Chrysostom on þe priesthood
,J.2.6,Burnet on þe 39 articles,Jan. 12,Burnet on þe 39 articles
,K.5.26,Fosters Sermons Vol. 3<sup>d</sup> & 4<sup>th</sup> on,Jan. 1,Fosters Sermons Vol 3 & 4<sup>th</sup>
,,prinll Murisons order by George Lyon,,
5,C.7.2,Burnets Pastoral Care,Decr 9,Burnets pastoral Care
,E.7.12,Clarks Essay on Study on prof<sup>r</sup>,Decr 9,Clarks Essay on Study
,,Shaws order by George Lyon,,
9,E.6.49,Bennet on Divinity on prinll,Jan. 1,Bennet on Divinity
,,Murisons order by George Lyon,,
1750,,,,
Jan. 1,J.5.10,Turretini Dissertationes Vol. 1.,Feb. 2,Turretini Dissertat. Vol. 1<sup>st</sup>
,G.3.30,Blanc. Theses Theologicae on,Jan. 23,Blanc Theses Theologicae
,,profr Shaw's order by George Lyon,p. 99,
,,,,
