1748,(5),Borrowed,1748,Returned
ffebr 27,E.6.7,Presbyterian Eloquence,Mar. 21,Presbyterian Eloquence
,,on Mr Rymers order by,,
,,George Dempster,,
27,J.5.3,Rollins Belles Lettres Vol. 3<sup>d</sup>,Mar. 24,Rollin's Belles Lettres V. 3<sup>d</sup>
,,on Mr Rymers Order by,,
,,Jo. Duncan,,
27,K.4.20,Cousto′s Sufferings in the Inquisition,Mar. 14,Cousto's Sufferings in þe Inq.
,J.6.1,Plays one Vol. N<sup>o</sup> 38,Apr. 8,Plays one Vol. N<sup>o</sup> 38
,,To John Hog on Mr Vilants order by,,
,,Order for Tho. Wolfe,,
27,J.3.6,Popes Works Vol. 1<sup>st</sup>,Mar. 18,Popes Works Vol. 1<sup>st</sup>
,,on Mr Rymer's order by,,
,,Jerom Stones,,
29,J.5.1,Rollins ancient Hist. Vol. 3<sup>d</sup> on M<sup>r</sup>,Mar. 17,Rollins ancient Hist. Vol 3<sup>d</sup>
,,Rymers order ffeb. 27 by,,
,,John Duncan,,|-}
,,Mr Gregorys order by,,
,,Will: Tailzier,,
29,K.1.8,Tillotsons Works Vol. 2<sup>d</sup> (w<sup>t</sup> three,May 4,Tillotsons Works Vol. 2<sup>d</sup>
,,Leaves wanting at page 760) on,,
,,prinll Murisons order by,,
,,Tho. Thomson,,
29,K.1.8,Tillotsons Works Vol. 1<sup>st</sup> on Prin,Ap. 19,Tillotsons Works Vol. 1<sup>st</sup>
,,Murisons order by,,
,,Geo Lyon,,
March 1,C.8.13,Souls Magazine,Ap. 27,Soul's Magazine
,J.3.16,Johnsons psalms on Prin<sup>ll</sup>,Mar. 21,Johnsons Psalms
,,Murisons order by,,
,,Alexr Ferriar,,
1,A.3.8,Popes Iliad Vol. 1<sup>st</sup> & 2<sup>d</sup> one Tome,Apr. 1,Popes Iliad Vol. 1 & 2<sup>d</sup>
,J.5.1,Rollins ancient Hist. Vol. 8<sup>th</sup>,June 1,Rollins ancient Hist. Vol. 8<sup>th</sup>
,,on professor Shaws order,,
,,by Alex: Shaw.,,
1,B.1.6,ffiddes′s Divinity 2 Volls,Apr 23,ffiddes' Body of Divinity 2. V<sup>s</sup>
,K.1.2,Univer. Hist. of Arts and Sciences,Apr. 26,Univer. Hist of Arts & Sciences
,,on prin<sup>ll</sup> Murisons order by,,
,,Rob: Barron,,|-}<noinclude></div></noinclude>
