126,,Professor H.D.Hill Bo[rrowe]d,,Returned
1793,,,,
,C6.28,Gillies Histy. of Greece 2 Vols,,Gillies Histy. 2 Vols
,C3.28,Potters Grecian Antiquities 2 Vols,,Potters Grec. antiq. 2 Vol.
,P2.16,Scapulae Lexicon,,Scapulae Lexicon
,K1.5,Stephani Thesaurus 4 Vols,,Stephani Thes. 4 Vol.
,J5.15,Hoogevan De Doct. Part 2 Vols,,Hoogev. de doctr. part. V1-4
,G ---,Voyage de Anacharsis 7 Vols,,Voyage d'Anach. 7 Vols
,,Atlas to the Above,,Atlas to the ab.
,K6.8,Baniers Mythology 4 Vols ---,,Baniers Mythology 4 Vols
,B9.3,Bos Ellipses Grae. ---,,Bos Ellips. Gr.
,B9.4,Lennep Anal. Ling. Gr. ---,,Lennep Anal. Ling. Gr.
,E7.7,Sievwrights Heb. Text },,Sievwright.
,B8.27,Maltons Introduction } Mr Moodie,,Maltons Introudction
,E7.20,Harmers Observations 2 vols ---,,Harmers Observ. V.1.2.
,C5.43,Dawes Mis. Crit. Burgess.,,Dawes Misc. Crit. Burgess
,F7.33,Recherches Phil. sur les Grecs,,Rech. Philos. sure les Grecs.
,C6.20,Harles Anthologia Graeca ----,,Harles Anthol. Gr.
,A7.15,Lampriers Class. Dicty.,,Lempriere's Class. Dict.
,C2.10,Burtons Pentalogia 1st & 2nd ---,,Burtons Pental. V.1.2nd
,CC9.6,Sophocles 2 Vols ----,,Sophocles. 2.Vols
,L6.5,Orig. des Loix V1.2nd.3rd ---,,Orig. des Loix 1st.2nd.3rd
,Q7.17,Boccac. Decam. 1st & 2nd,,Boccac. Decam. 1st 2nd
,P4.16,Lysiae Orationes ----,,Lysiae Orationes.
,R7.30,Pearces Longinus,,Pearces Longinus.
,M3.17,Oeuvres de Tourreil Vol 1st. 2nd,,Oeuvres de Tourreil 1st & 2nd
,L5.15,Demosthenes,,Demosthenes.
,D6.6,Oratores Graeci Vol 10th,,Oratores Graeci Vol 10th
,P.4.9,Seckers Sermons 2nd & 4th. 3rd. ---,,Seckers Ser. 2nd. 3rd. 4th.
,R5.43,Essay on Crimes ----,,Essay on Crimes
,L5.9,Gillies Lysias ---,,Gillies Lysias
,Q5.1,Ulianus Cum Notis Vol 1st,,Ulianus Cum notis V.1st
,O7.6,Hist. De L.Acad. des Ins. 3rd.4.5,,Hist. de L Acad. des In. 3rd.4.5.
,P4.21,Lelands Histy of Philip,,Lelands Histy of Philip
,,Hymnus in Cerm.,,Hymnus in Cererem
,N5.10,Wests Pindar ---,,Wests Pindar
,CC10.37,Bonnet Contem. 2 Vols ----,,Bonnet Cont. de la nat. V.
,G2.19,Barthelemy Dissert.,,Barthelemy Dissert.
