98,,Professor Barron Bo[rrowe]d,,Returned
1799,,,,
June 12,R7.10,(Scored through Guthries) Geograph. Grammar 2 vols,,Geograph. Grammar 2 vols
,AA4.11,Stauntons Embassy to China 2 vols,,Stauntons Embassy to China 2 v
,,Dr Playfair,,
,,Blairs Chronology,,Blairs Chronol
,D3.2.,Stephanus Dicty ----,,Stephanus Dict.
,F7.16,Brookes Gazateer,,Brookes Gazateer
July 17.,N8.1.,Chapones Letters ----,,Chapones Letters
,E8.12,Blairs Sermons vol 2nd,,Blairs Sermons vol 2
,N.6.15,Phillips Voyage ----,,Phillips Voyage etc
,CC.3.33.,Dirom Narrative etc.,,Dirom narrative etc.
31st,O3.25,Military History of Indostan 2 vols,,Military histy. of Indostan 1.2
,B7.31,Zimmermanns Survey of Europe,,Zimmermans Survey of Europe
Augt. 7,FF.4.25.,Sommervilles hist. Q. Anne,,Somervilles hist. Q Anne
,L.5.23,Lind on the Scurvy ---- },,Lind on the Scurvy
,B.5.12,Goldsmiths animated Nature Vol 1st },Mr Mason,Goldsmiths Animated Nature Vol 1st
Sept,B.5.12,Goldsmith D[itt]o Vol 2nd 3rd.4.5.6th.7th },Mr Mason,D[itt]o Vol. 2nd 3rd.4.5.6.7
,D5.15,Fothergills Works Vol 1 & 2nd D[itt]o,,Fothergills Works Vol 1st & 2nd
,L7.57,Home on agriculture D[itt]o ----,,Home on Agriculture
,,Seven pieces of music,,seven pieces of Music
,E3.14.,Virgilii opera ----,,Virgilii opera
,R5.3,Watsons Horace Vol 1.2nd ----,,Watsons Horace vol 1
1799,P3.3.,Grays poems ----,,Grays poems
Nov. 6,R5.12,Goldsmiths anim. nature V.8.,,Goldsmiths anima nature
,,Mr Mason ---,,
,B3.4,Hunters animal Oeconomy (Oec scored through),,Hunters animal Oeconomy
,B2.9,Life of Napier -- D[itt]o,,Life of Napier
Nov. 22,CC.,Zoonomia Vol. I D[itt]o,,Zoonomia Vol. I.
Decr 19.,,Parks Travels ----,,Parks Travels.
,B.2.3,Encyclo. Brit. vol 6th,,Encyclo. Brit. Vol 6th
May 14,,Will. Kirkaldy,,
,O47,Livius Drakenborch v 3rd,,Livius Drak vol 3.1
,? 16,Vesalii Anatomy,,Vesalii Anat.
