1749,(61),Borrowed,1749,Returned
ffeb. 17,J.5.18 <sup>(p. 41)</sup>,New whole Duty of Man,ffeb. 21,New whole Duty of Man
,J.5.1,Rollins ancient Hist. Vol. 5<sup>th</sup> on,feb. 24,Rollins ancient Hist. Vol. 5<sup>th</sup>
,,Mr Gregories order by Harry Munro,,
21,J.8.50,Hutchisons Ethicks Eng. on M<sup>r</sup>,Mar. 13,Hutchisons Ethicks Eng.
,,Jo Youngs order by Harry Munro,,
25,J.6.5,Baniers Mythology Vol. 1<sup>st</sup> on M<sup>r</sup>,Mar 1,Bamier's Mythology Vol. 1<sup>st</sup>
,,Jo Youngs order by Harry Munro,,
Mar. 1,J.5.2,Rollins ancient History Vol. 1<sup>st</sup> on,Mar. 10,Rollins ancient Hist. Vol. 1<sup>st</sup>
,,Mr Jo Youngs order by Harry Munro,,
8,F.7.55,Keils astronomy Eng on M<sup>r</sup>,May 11,Keil's astronomy Eng.
,,Rymers order by Harry Munro,,
10,K.4.8,Rollins Rom. History Vol. 1<sup>st</sup> on,Mar 15,Rollins Rom. Hist. Vol. 1<sup>st</sup>
,,Mr Rymers order by Harry Munro,,
14,F.4.3,Isocrates Opera Gr. L. ium Nolis on,Mar. 20,Isocrates opera Gr Lat.
,,Mr Jo. Youngs order by Harry Munro,,
15,K.4.8,Rollins Rom. History Vol. 2<sup>d</sup> on M<sup>r</sup>,Mar. 20,Rollins Rom. Hist. Vol. 2<sup>d</sup>
,,Jo. Youngs order by Harry Munro,,
18,K.8.5,Alethia on Mr Jo Youngs order,Mar. 22,Alethia
,,by Harry Munro,,
21,E.7.12,Clarks Essay on Study on Mr Gre-,Mar. 27,Clarks Essay on Study
,,gories order by Harry Munro,,
,,,p. 67,
1749,,,,
ffeb<sup>r</sup> 16,J.2.6,Burnet on the 39 articles on,May 27,Burnet on þe 39 articles
,,prinll Murisons order by Robt Balfour,,
24,J.2.22,History of þe Life etc of Jesus on prinll,May 27,History of þe Life &c of Jesus
,,Murison's order by Robt Balfour,,
Mar. 7,B.5.28,Bp of Salisbury on the Colossians,Mar 31,Bp of Salisbury on þe Colossians
,A.6.42,Extent of Human Understanding on,Mar. 31,Extent of Human Understanding
,,profr Shaw's order by Robt Balfour,,
13,J.5.29,Warburtons Div. Legation of Moses Vol. 1<sup>st</sup>,Mar 31,Warburtons Div Legations of M<sup>s</sup> V. 1<sup>st</sup>
,,on prinll Murisons order by Robt Balfour,,
April 3,H.2.8,Marloratus in Epistolas,Apr. 18,Marloratus in Epistolas
,J.2.16,Whitby on the N. Testamt Vol 2<sup>d</sup>,Apr. 18,Whitby on þe N. Tes<sup>t</sup> Vol. 2<sup>d</sup>
,C.4.14,Calvinus in Epistolas,Apr. 18,Calvinus in Epistolas
,B.3.11,Pools notes Vol. 2<sup>d</sup> on prinll,Apr. 18,Pool's notes Vol 2<sup>d</sup>
,,Murisons order by Robt Balfour,,
,,,,
