1750,(102),Borrowed,1750,Returned
,p. 67,,,
feb. 8,A.4.20,Xenophontis Opera. Gr Lat on,Mar 31,Xenophontis Opera. Gr Lat.
,,Mr D. Youngs order by Hugh Rose,,
20,J.4.13,Boyles Lectures abridgd Vol 4<sup>th</sup> on,Mar 13,Boyles Lectures V. 4<sup>th</sup>
,,Mr D. Youngs order by Hugh Rose,,
27,A.5.36,View of newt. philos. by Pemberton,Mar 13,View of newt. phil. by pemb<sup>n</sup>
,C.8.34,Irish N. Testament on Mr D.,Mar 13,Irish Testament
,,Youngs order by Hugh Rose,,
Mar 13,K.5.28,Plinies Letters Eng. Vol. 1<sup>st</sup> on,Mar 20,Plinie's Letters Eng V. 1<sup>st</sup>
,,Mr D. Youngs order by Hugh Rose,,
20,K.5.28,Plinies Letters Vol. 2<sup>d</sup>,Mar 31,Plinie's Letters Vol. 2<sup>d</sup>
,K.6.6,Varenius Geography 2 Voll on M<sup>r</sup>,Apr 11,Varenius' Geography 2 Voll.
,,D. Youngs order by Hugh Rose,,
1750,(p. 89),,,
ffeb. 9,K.3.19,Youngs Night Thoughts on M<sup>r</sup>,Mar 19,Young's Night Thoughts
,,Jo Youngs order by Willm Reid,,
28,J.4.7,Rays Wisdom of God on þe Creation on,Mar 19,Ray's Wisdom of God on þe Cr<sup>n</sup>
,,Mr Gregorie's order by Willm Reid,,
Mar 19,J.5.1,Rollins ancient hist. Vol 2<sup>d</sup> & 3<sup>d</sup> on,Mar 27,Rollins ancient hist. Vol 2<sup>d</sup> & 3<sup>d</sup>
,,Mr Gregories order by Willm Reid,,
Apr 3,K.4.7,King on the Origin of Evil,May 8,King on þe Origin of Evil.
,J.5.1,Rollins ancient hist. Vol 1<sup>st</sup> on M<sup>r</sup>,Apr 14,Rollins ancient hist. V. 1<sup>st</sup>
,,Jo Youngs order by Willm Reid,,
10,J.5.1,Rollins ancient Hist. Vol 6<sup>th</sup> on,Apr 20,Rollins ancient hist. V. 6<sup>th</sup>
,,Mr Gregorie's order by Willm Reid,,
6,J.5.1,Rollins ancient Hist. Vol 5<sup>th</sup> on M<sup>r</sup>,Apr 27,Rollins ancient hist. V. 5<sup>th</sup>
,,Jo. Young's order by Willm Reid,,
27,A.3.,Popes Hom. Iliad Vol 3<sup>d</sup> & 4<sup>th</sup> on,May 12,Pope's Hom. Iliad Vol 3<sup>d</sup> & 4<sup>th</sup>
,,Mr Gregorie's order by Willm Reid,,
May 8,J.5.1,Rollins ancient Hist. Vol 4<sup>th</sup> on M<sup>r</sup>,May 22,Rollins ancient hist. V. 4<sup>th</sup>
,,Gregories order by Willm Reid,,
12,A.3.,Popes Hom. Iliad Vol 5<sup>th</sup> on M<sup>r</sup>,May 18,popes Hom. Iliad Vol 5<sup>th</sup>
,,Gregorie's order by Willm Reid,,
18,A.3.,Popes Hom. Iliad Vol. 6<sup>th</sup> on M<sup>r</sup>,May 24,Popes Hom. Iliad V. 6<sup>th</sup>
,,Jo. Young's Order by Willm Reid,,
25,A.3.,Popes Hom. Iliad Vol 1<sup>st</sup> & 2<sup>d</sup> on,June 5,popes Hom. Iliad V. 1 & 2<sup>d</sup>
,,Mr Gregories order by Willm Reid,p. 126,
,,,,
