1750,(123),Borrowed,1750,Returned
,(p. 59),,,
Augt. 31,A.5.55,Newtons Observat. on Daniel,Septr 8,Newtons Observat. on Daniel.
,A.1.14,Burnets Hist of his own times,Mar 14,Burnets Hist. of his times V. 1<sup>st</sup>
,,Vol 1<sup>st</sup> on Mr Rymers order,,
,,by David Frazer,,
Sept. 8,A.1.14,Burnets hist. of his own Times,Mar. 14,Burnets hist. of his own times v. 2<sup>d</sup>
,,Vol 2<sup>d</sup> on þe above order by,,
,,David Frazer,,
1752,p. 158,,,
Mar 20,A.6.37,Parker on the Law of Nature,Apr 23,Parker on þe Law of Nature
,,on pr. Murisons order by,,
,,Ja. Monypinny.,,
1752,,,,
Decr 27,B.3,Poli Synopsis Crit. V. 4<sup>th</sup> p<sup>t</sup> 2<sup>d</sup>,feb. 22,poli Synopsis Crit. V 4<sup>th</sup> p<sup>t</sup>. 2<sup>d</sup>
,B.3,Newmans Concordance,Apr 25,Newmans Concordance
,B.3.6,Mills Greek Testamt,Mar 8,Mill's Greek Testam<sup>t</sup>
,L.2,Barrows Works V. 1<sup>st</sup> on,Mar 8,Barrows Works V. 1<sup>st</sup>
,,profr Shaws order by,,
,,Thomas Stewart,,
1753,,,,
Jan. 6,J.2,Whitby on þe N. Testamt V. 2<sup>d.</sup>,feb. 22,Whitby on the N. Test. V. 2<sup>d</sup>
,A.4.,Du Pins Canons on prin.,feb. 20,Du Pin's Canons
,,Murisons order by Thomas Stewart,,
feb. 23,E.6.67,Lucas Sermons V. 2<sup>d</sup> on,feb. 28,Lucas' Sermons V. 2<sup>d</sup>
,,profr Shaw's order by Thomas Stewart,,
Mar 8,B.3,Poli Synopsis crit. V. 2<sup>d</sup>,Apr 25,poli Synopsis Crit. V 2<sup>d</sup>
,C.3.12,Mollirus in psalmos,Apr 25,Mollirus in psalmos
,L.5.8,Epictetus Arriani V. 1<sup>st</sup>,Apr 25,Epictitus Arriani V 1<sup>st</sup>
,,on profr Shaws order by,,
,,Thomas Stewart,,
9,C.4.14,Calvinus in psalmos on prin<sup>ll</sup>,Apr 25,Calvinus in psalmos
,,Murisons order by Thomas Stewart,,
Apr 2<sup>d</sup>,F.3.18,Helvicus Chronologie on,Apr 25,Helvicus Chronology
,,Mr Wilsons order by Thomas Stewart,,
