1751,177,Borrowed,1751,Returned
,p. 131,,,
Decr 18,J.5.2,Rollins belles Lettres V. 2<sup>d</sup> on,Feb. 12,Rollins belles Lett. V. 2<sup>d</sup>
1752,,Mr Rymer's order by Rob. McLagan,,
Jan. 16,K.5.29,Patricks Terence Lat Eng V. 2<sup>d</sup>,Jan. 31,Patricks Terence V. 2<sup>d</sup>
,J.5.1,Rollins ancient Hist. V. 1<sup>st</sup>,Jan. 28,Rollins ancient Hist. v. 1<sup>st</sup>
,J.5.2,Rollins belles Lettres V. 1<sup>st</sup> on,Feb. 12,Rollins bell Lett. V. 1<sup>st</sup>
,,Mr Rymers order by Rob. McLagan,,
28,A.4.21,Abercrombies Scots Hist. V. 1<sup>st</sup> on,Feb. 13,Abercrombie's Scots Hist. V. 1<sup>st</sup>
,,Mr Rymers order by Rob. McLagan,,
31,A.6.44,Rapins Hist. of Engld V. 3<sup>d</sup> on,Feb. 12,Rapin's Hist. V. 3<sup>d</sup>
,,Mr Rymers order by Rob. McLagan,,
Feb. 13,A.4.1,Keatings Hist. of Ireland,Mar 16,Keating's Hist. of Ireland
,F.6.30,Hattons Arithmatick on M<sup>r</sup>,Feb. 25,Hatton's Arithmatick
,,Rymers order by Rob. McLagan,,
18,A.6.44,Rapins Hist. of Eng<sup>d</sup> V. 1<sup>st</sup> on M<sup>r</sup>,Mar 18,Rapins Hist of Eng<sup>d</sup> V. 1<sup>st</sup>
,,Rymers order by Rob. McLagan,,
29,E.6.35,Oldmixons Logick on Mr Ry-,Mar 6,Oldmixons Logick
,,mers order by Rob. McLagan,,
Mar 3,J.7.7,Oriental Tales 2<sup>vs</sup>,Mar 10,oriental Tales 2<sup>vs</sup>
,E.7.61,English Grammar on M<sup>r</sup>,Mar 6,English Grammar
,,Rymers order by Rob. McLagan,,
10,K.,"Tom Jones V. 4, 5, & 6<sup>th</sup> on",Mar 18,"Tom Jones V. 4, 5, & 6<sup>th</sup>"
,,Mr Rymers order by Rob. McLagan,,
15,J.7.6,Adventures of Joseph Andrews 2<sup>vs</sup>,Mar 20,Adventures of Jos Andrews 2<sup>vs</sup>
,,on Mr Rymers order by Rob. McLagan,,
18,J.8.4,Traps praelectiones poeticae 2<sup>vs</sup>,Mar 20,Traps praelect. poet. 2<sup>vs.</sup>
,J.5,Shuckfords Connection V. 1<sup>st</sup> on,Apr 8,Shuckfords Connection V. 1<sup>st</sup>
,,Mr Rymers order by Rob. McLagan,,
21,E.7.23,Molieres plays Vol 2 & 6<sup>th</sup> on,Mar 28,Molieres plays V. 2 & 6
,,Mr Mortons order by Robert McLagan,,
Apr 8,K.3.,Ansons Voyage on Mr Rymers,May 8,Ansons Voyage
,,order by Rob. McLagan,,
21,J.5.1,Rollins ancient History V. 2<sup>d</sup>,Apr 25,Rollins ancient hist. V. 2<sup>d</sup>
,,on Mr Rymers order by Rob. McLagan,,
25,J.5.1,Rollins ancient Hist. V. 5<sup>th</sup> on þe,May 8,Rollins ancient Hist. V. 5<sup>th</sup>
,,above order by Rob. McLagan,,
28,A.6.44,Rapins Hist. of Eng<sup>d</sup> V. 2<sup>d</sup> on M<sup>r</sup>,May 8,Rapins Hist. of Eng<sup>d</sup> V. 2<sup>d</sup>
,,Rymers order by Rob. McLagan,,
May 1,A.6.44,Rapins Hist. of Eng<sup>d</sup> V. 3<sup>d</sup> on þe,May 8,Rapins Hist. of Eng<sup>d</sup> V. 3<sup>d</sup>
,,above order by Robert McLagan,,
15,J.6.3,Female Spectator V. 1 & 2<sup>d</sup> on,June 2,Female Spectator V. 1 & 2<sup>d</sup>
,,Mr Rymers order by Rob. McLagan,,
,,,,
