1749,(36),Borrowed,1749,Returned
Jan<sup>r</sup> 2,A.6.23,Westons Short hand on Mr Murisons,Jan. 17,Weston's Short hand
,,order by Harry Munro,,
2,J.4.25,Clarks Sallust on Mr Wilson's,Jan 20,Clarks Sallust
,,order by Joseph McCormick,,
,J.5.2,Rollins Belles Lettres Vol. 2<sup>d</sup> on,Jan. 19,Rollins Belles Lettres V. 2<sup>d</sup>
,,forsd order by Joseph McCormick,,
2,J.5.24,Cosmotheoria pueriles 2 Voll. by,Nov<sup>r</sup> 23,Cosmotheoria pueriles 2 <sup>Vs</sup>
,,John Craigie,,
,J.2.14,Midleton′s Life of Cicero Vol. 1<sup>st</sup>,Jan. 23,Midletons life of Cicero V. 1<sup>st</sup>
,K.7.42,Norris on þe Immortality of þe Soul,Jan. 13,Norris on þe immor<sup>t</sup> of þe Soul
,J.5.2,Rollin′s Belles Lettres Vol 1<sup>st</sup> on,Jan. 13,Rollin's belles Lettres V. 1<sup>st</sup>
,,Mr Jo. Youngs order by,,
,,Hugh Ross,,
3,K.5.18,Dialogues on Education Vol. 1<sup>st</sup> & 2<sup>d</sup>,Mar 7,Dialogues on Education 2 Voll
,J.2.16,Whitby on þe N. Testamt 2 Voll on,Mar. 1,Whitby on þe N. test V. 2<sup>d</sup> & 1<sup>st</sup>
,,profr Shaws order by Lau: Gillespie,,
3,K.7.27,Langrish′s Theory and pract. of physic.,augt 8,Langrish's Theory & Pract.
,K.7.28,Langrish′s Experimts on Brutes,Augt 8,Langrish's Exper<sup>ts</sup> on Brutes
,J.6.6,Gentleman and Lady instructed 2 Voll.,Augt 8,Gentleman & Lady instruct. 2 V<sup>s</sup>
,,Thomas Simson,,
3,H.6.6,"Stratagemata Salamae, charitii",Jan. 7,Stratagemata Salamae
,,Bibliotheque Raisonnee Oct. Nov Dec<sup>r</sup> 1738,Mar 14,Bibliotheq[ue] Rais<sup>e</sup>. O. N. & D<sup>r</sup> 1728
,,John Craigie,,
3,K.3.23,Pamphlets N<sup>o</sup> 2<sup>d</sup> on Mr Rymer's,Jan. 17,Pamphlets N<sup>o</sup> 2<sup>d</sup>
,,order by Jerom Stones,,
3,J.5.8,Thomsons Works Vol 1<sup>st</sup> on prof<sup>r</sup>,Mar. 20,Thomsons Works V. 1<sup>st</sup>
,,Shaw's order by Alexr Ferriar,,
3,K.3.21,Cibbers Life and Art of Health on M<sup>r</sup>,Jan. 7,Cibber's life & Art of health
,,Rymers order by Jo: Smibert,,
3,J.6.18,Lettres on Mythology,Jan 21,Lettres on Mythology
,J.3.30,proofs of þe Enquiry into Hom. Life,Jan 21,proofs of Homers Life
,,to Mr W. Wilson.,,
4,K.4.14,Universal History Vol. 19<sup>th</sup> on M<sup>r</sup>,Jan. 30,Universal Hist. Vol. 19<sup>th.</sup>
,,Gregory's order by Alexr Duncan,,
4,J.4.13,Burnets Boyle′s Lectures Vol. 2<sup>d</sup> on,febr 24,Burnets Boyles Lect: Vol. 2<sup>d</sup>
,,Mr D. Youngs order by Thoms Webster,,
4,K.3.19,Maclaurins Newton. philosophy,Jan. 25,Maclaurin's Newt. philos.
,J.6.17,Maclaurins Algebra on Mr David,ffeb. 8,Maclaurins Algebra
,,Youngs order by Thos Wolfe,,
,,,,
