1752,178,Borrowed,1752,Returned
Mar 21,F.7.56,Desaguiliers Experiments,Apr 23,Desaguiliers Experiments
,K.3.20,Maclaurins Newt. philosophy on,Apr 23,MaclaurinsNewt. philosophy
,,Mr Da. Youngs order by,,
,,John Sutherland,,
30,E.6.84,Laurences Surveyors Guide on M<sup>r</sup>,May 4,Laurence's Surveyor
,,Jo. Youngs order by John Sutherland,,
1752,,,,
Mar 23,K.5.29,Patricks Terence Lat. Eng V. 1<sup>st</sup> on,Apr. 3,Patricks Terence V. 1<sup>st</sup>
,,Mr Wilsons order by Robert Mcfarlane,,
Apr 3,K.5.29,Patricks Terence V. 2<sup>d</sup> on þe above,Apr 6,Patricks Terence V 2<sup>d</sup>
,,order by Rob. Mcfarlane,,
7,E.7.70,Budgels Mor. Characters,Apr 11,Budgels Mor. Characters
,J.5.9,Homes Hist. of þe Jews 2<sup>vs</sup> on,Apr 11,Homes Hist. of þe Jews 2<sup>vs</sup>
,,Mr Wilsons order by Robert Mcfarlane,,
11,K.6.8,Ciceros Epist. to Brutus L. E.,Apr 20,Cicero's Epist. to Brutus L E
,E.7.33,Parnells poems on Mr Wil-,Apr 20,Parnels poems
,,son's order by Robert Mcfarlane,,
21,E.8.50,Discourse of humane Reason,Apr 27,Discourse of Hum. Reason
,E.6.38,Clarks Justine Lat. Eng. on M<sup>r</sup>,May 8,Clarks Justine Lat Eng
,,Wilsons order by Robert Mcfarlane,,
1752,,,,
Mar 36,C.6.29,Prideauxs Connection V. 1<sup>st</sup>,Apr. 20,Prideaux's Connection V. 1<sup>st</sup>
,J.3,Hooks Rom. Hist. V. 1<sup>st</sup> on,Apr 20,Hooks Rom. Hist. V. 1<sup>st</sup>
,,Mr Rymers order by William Crombie,,
28,K.8.11,Jennings Beauty of early piety on,Apr 20,Jennings Beauty of early piety
,,þe above order by William Crombie,,
Apr 20,E.7.23,Molieres plays V. 2<sup>d</sup> & 3<sup>d</sup>,May 30,Molieres plays V. 2 & 3<sup>d</sup>
,K.3.25,Pamphlets Vol 3<sup>d</sup> on Mr Rymers,May 30,Pamphlets V. 3<sup>d</sup>
,,order by William Crombie,,
,,,,
