1751,170,Borrowed,1751,Returned
,(p 119),,,
Augt 24,J.5.29,Warburtons div Legation of Moses 3 <sup>Vs</sup>,Oct<sup>r</sup> 9,Warburton's d. Leg<sup>n</sup> 3<sup>Vs</sup>
,,on prinll Murisons order by,,
,,Joseph McCormick,,
Octr 9,E.6.53,Cicero de Oratore,June 20,Cicero de Oratore
,A.1.15,Justini Martyris Apologia on prin,Oct<sup>r</sup> 29,Justini Mart. Apologia
,,Murisons order by,,
,,Joseph McCormick,,
Decr 27,D.2.13,Bezae N. Testamt Gr Lat,June 20,Bezae N. Test. Gr Lat
,F.7.4,Lucretius p Creech on prof<sup>r</sup>,Apr. 22,Lucretius p Creech
1752,,Shaws order by Joseph McCormick,,
Feb. 1,C.2.22,Socini Scripta polemica on prin<sup>ll</sup>,Mar 26,Socini Scripta polemica
,,Murisons order by,,
,,Joseph McCormick,,
Feb. 22,J.3.3,Butlers Analogy on pr. Muri-,June 20,Butlers Analogy
,,sons order by Joseph McCormick,,
25,C.6.7,Souths Sermons V. 4<sup>th</sup> on prin.,Mar 26,South's Sermons V. 4<sup>th</sup>
,,Murisons order by Joseph McCormick,,
Apr 22,A.6.21,Demosthenes Orat. p Monteny Gr Lat,June 20,Demosthenes Orat. p Monteny
,,on prin. Murisons order by Joseph McCormick,,
June 22,A.1,plutarchi Opera Gr Lat. V. 1<sup>st</sup>,July 6,Plutarchi Op. Gr Lat V. 1<sup>st</sup>
,K.1.,Grotius on War and peace p Barbeyrack,July 6,Grotius on War & peace
,J.1.12,Harringtons Oceana on prin<sup>l</sup>,July 6,Harringtons Oceana
,,Murisons order by Joseph McCormick,,
1752,p. 167,,,
Feb. 18,J.5.8,Thomsons Works V. 2<sup>d</sup>,Feb. 22,Thomsons Works V. 2<sup>d</sup>
,K.4.5,Fieldings Miscellanies V. 3<sup>d</sup> on,Feb. 22,Fieldings Miscellanies V. 3<sup>d</sup>
,,Mr Rymers order by James Laing,,
25,C.8.42,Blackwells Ratio Sacra on M<sup>r</sup>,Mar 11,Blackwells Ratio Sacra
,,Gregories order by James Laing,,
Mar 10,J.4.20,Nature displayd Vol 2<sup>d</sup>,May 5,Nature display'd V. 2<sup>d</sup>
,J.8.4,Traps praelectiones poeticae 2<sup>vs</sup>,Mar 14,Traps praelect. poet. 2<sup>vs</sup>
,J.3.5,Traps paradisus amissus V. 1<sup>st</sup> on,Mar 14,Traps paradisus amissus V. 1<sup>st</sup>
,,Mr Gregorys order by James Laing,,
14,J.4.15,Richardsons Notes on Milton,Mar 26,Richardson's Notes on Milton
,K.,Fortunate Foundlings on Mr Ry,Apr 10,Fortunate Foundlings
,,mers order by James Laing,,
26,K.8.20,Economy of Hum. Life,Apr 10,Economy of Hum. Life
,E.6.37,Life of Socrates and memble things on M<sup>r</sup>,May 30,Life of Socrates & mem<sup>ble</sup> things
,,Rymers order by James Laing,,
Apr 10,E.7.54,Malebranches Search after truth 2<sup>vs</sup>,May 30,Malebranche's Search 2<sup>vs</sup>
,K.5.16,Puffendorfs Introduction to Hist. on,May 5,Puffendorfs Introduction
,,Mr Jo. Youngs order by Ja. Laing,,
May 5,J.3.4,Leonidas on Mr Gregorie's order,May 30,Leonidas
,,by James Laing,,
,,,,
