,,Revd John Trotter Bo[rrowed],,Returned
1790,,,,
Jany 15,M . .,Humes Histy of England 3 & 4,Vol -,Humes Histy of Engd Vol 3.4th
19,L3.4.,Clerici Comment. on Psalmes,,Clerici Com. --
,BB4.43,Noldii Concor.,,Noldi concordandta
,FF.4.29,Smellies Philosophy vol 2nd,,Smellies Philosophy vol 2nd
,Do 4.20,Somervilles History of Queen Ann,,Sommervills Queen Ann ---
Feby 20.,BB.7.3.,Hume History of Engd. Vol. 5 &6th 7 8.,,Humes History vol 5.6.7.8.
March 25,J8.2.,Johnsons Lives of the Poets Vol. 1.2.3.4,,Johnsons Lives of the Poets V 1.2.3.4
May 7,C4.31,Wakefields Sylva Critica 2 Vols ---,,Wakefields Sylva Critica 2 Vols
June 5th,D6.16.,Buchans Domestic medicine,,
Sept 19,FF.7.22.,Drakes Literary Hours,,Drakes Literary hours
,FF.7.85.,Bonapartes Letters ----,,Bonaparte's Letters
,FF.8.56,Peters on Job,,Peters on Job
,FF.8.95,Biblia Hebraica ----,,Biblia Hebraica
,C.8.13,Potters Antiquities 2 Vols,,Potters antiqu. 2 Vols
? 28,FF.8.57.,Maurices Indian Antiquities 6 vols,,Maurices Indian Antiquities 6 Vol
-,Do 4.30.,Howard on the Structure of the Earth,,Howard on the structure of
Nov 23,FF.4.32,Blaney Transla. Zachariah. --,,Blayneys Zachariah
,Do - 33,Dimock on the Psalms,,Dimock on the Psalms
,BB3.,"MacKnight on the Epis. Vol. 1,2,4th",,McKnight 1.2.4
? 20,FF.8.71.,Asiatic Researches 3 Vols 1.2.3.,,Asiatic researches Vols 1 2.3rd
,Do 4.38.,Frys Pantographica ----,--,Frys pantgraphia
,,Turkish Spy 5.6.7.8 vol ----,--,Turkish Spy Vol 5.6.7.8
,,Jewish Letters 4 Vols.,,Jewish letters 4 Vols.
,F412.,Porterfield on the Eye 2 vols,,Porterfield on the Eye 2 Vols
,FF.4.1.,Coxis Mems. of Sir R Walp.,V.1.2.3,Coxs memoirs of S. W. Walpole
,,,,Vol 1.2.3
,EE.7.8.,Hallets notes on the Scriptures 3 Vols,,Hallet on the Scriptures
,EE.7.12,Paolinos voyage,,Paolinos voyage
? 2nd,O.4.11,Rollins Anci History Vol I.,"""",Rollins Ancient History Vol 1
,,Mr Williams --,,
,CC.3.1.,Juridical styles 3 Vols ----,,Juridical Styles 3 vols
,EE.4.3,Jones works. 3.4.5.6.2,,Jones works. 3.4.5.6.2
,,Griesbach Nov. Test. Graec.,,Griesbach's Testam Graec.
,EE.4.4,Heaths version of Job ----,,Heath's Job
,AA.6.1,Statistical account vol 21th,,Statistical account 21st
,EE.4.9,Pugh on Muscular action,,Pugh on Muscular systems
,B7.7,Shakespeares Plays vol 5,,Shakespeare Vol 5th
,P4.14,Gibbons Rom Empire vol 1,,Gibbons Rom. Emp. vol 1.
,,Burns Works vol 1,,Burns's Works vol 1
,CC.5.8,Barrows Travels,,Barrows Travs.
,EE.5.10,Piozzis Retrospection 2 Vols,,Piozzi's Retrospection
