1750,(115),Borrowed,1750,Returned
,(101),,,
April 26,K.6.19,Ellis s Voyage on Mr Rymers,May 4,Ellis's Voyage
,,order by Ja. Thomson,,
May 14,J.6.5,Preceptor Vol 1<sup>st</sup> on Mr Rymers,June 5,preceptor Vol 1<sup>st</sup>
,,order by Ja Thomson,,
15,K.3.,Ansons Voyage on Mr Rymers,May 21,Ansons Voyage
,,order by Ja Thomson,,
21,J.4.34,Swifts Works Vol. 5<sup>th</sup> on M<sup>r</sup>,June 5,Swifts Works Vol 5<sup>th</sup>
,,D. Youngs order by Ja. Thomson,,
June 1,A.6.27,L. Gullivers Travels 2 Voll. on. M<sup>r</sup>,June 5,L. Gullivers Travels 2 V<sup>s.</sup>
,,Rymers order by Ja. Thomson,,
Octr 15,K.5.24,Watts Logick on Mr Rymers,Nov. 20,Watts Logick
,,order by James Thomson,,
Nov. 5,K.8.9,Roderick Random 2 Voll,Nov 23,Roderick Random 2 Voll.
,A.6.19,Hybernicus Letters V. 1<sup>st</sup> & 2<sup>d</sup> on M<sup>r</sup>,Decr 19,Hybernicus' Letters 2 Voll
,,Jo Youngs order by Ja. Thomson,,
20,A.3.,Popes Hom. Iliad Vol 1 & 2<sup>d</sup> on,Decr 24,Popes Hom. Iliad V. 1 & 2<sup>d</sup>
,,Mr Jo Youngs order by Ja Thomson,,
Decr 19,J.5.2,Rollins belles Lettres Vol 1<sup>st</sup> on,Decr 24,Rollins belles Lett. V. 1<sup>st</sup>
,,Mr Jo Young's order by Ja. Thomson,,
21,J.4.11,Watsons Horace Vol. 2<sup>d</sup> on M<sup>r</sup>,Jan 29,Watsons Horace V. 2<sup>d</sup>
,,Jo. Young's order by Ja. Thomson,(p. 144),
1750,p. 87,,,
May 1,J.5.1,Rollins ancient Hist. Vol 1<sup>st</sup> on,May 4,Rollins ancient Hist. Vol 1<sup>st</sup>
,,Mr Rymers order by David Smith,,
1,K.7.15,Watts on þe Passions on Mr Gre-,May 4,Watts on þe passions
,,gorie's order by David Smith,,
4,F.3.8,Lock on Hum. Understanding on,May 21,Lock on Hum. Understanding
,,þe above order by David Smith,,
21,K.3.,Ansons Voyage on Mr Rymers,May 29,Ansons Voyage
,,order by David Smith,,
Octr 17,A.6.23,Westons Art of Short-writing on M<sup>r</sup>,Nov 24,Weston's Art of Short-writing
,,Jo Youngs order by David Smith,,
30,J.5.2,Rollins belles Lettres V. 1<sup>st</sup> on the,Nov. 24,Rollin's belle's Lett. V. 1<sup>st</sup>
,,above order by David Smith,,
Nov. 24,K.7.16,Hutchison Philosophia Morales,Decr 6,Hutchison philosophia morales
,J.4.20,Nature displayd Vol 3<sup>d</sup> on,Decr 6,Nature display'd Vol. 3<sup>d</sup>
,,Mr D youngs order by David Smith,,
Decr 7,E.6.53,Cicero de Oratore. Delphini,Jan. 2,Cicero de Oratore
,J.4.29,Nature displayd Vol 2<sup>d</sup> on M<sup>r</sup>,Jan. 2,Nature display'd Vol 2<sup>d</sup>
,,D. Youngs order by David Smith,,
,,,p 148),
,,,,
