1748,(27),Borrowed,1748,Returned
Nov<sup>r</sup> 19,K.4.7,King on the Origin of Evil,Decr 17,King on þe Orig. of Evil
,J.5.19,Moss′s Sermons Vol. 4<sup>th</sup>,Decr 17,Moss's Sermons Vol. 4<sup>th</sup>
,J.4.36,Rowed devote Exercises p Receipt,Apr. 8,Rowe's devote Exercises
,,apart to Duncan Macara,,
19,A.6.44,Rapin′s History of Eng Vol. 7<sup>th</sup> on,Jan. 10,Rapin's Hist. Vol. 7<sup>th</sup> on
,,Mr Rymers order Ja: Rymer,,
19,K.4.8,Rollins Rom. Hist. Vol. 3<sup>d</sup>,Nov<sup>r</sup> 29,Rollin's Rom. Hist. Vol. 3<sup>d</sup>
,A.1.8,Plutarch Opera Vol. 1<sup>st</sup> on M<sup>r</sup>,Decr 7,Plutarchi Opera Vol. 1<sup>st</sup>
,,Gregorys order by Will. Taylor,,
19,A.6.44,Rapin′s Hist. Vol. 5<sup>th</sup> on Mr Gre-,Nov<sup>r</sup> 29,Rapin's Hist of Eng<sup>d</sup> Vol 5<sup>th</sup>
,,gorys order by Andr Hutton,,
19,J.5.1,Rollins ancient Hist. Vol. 2<sup>d</sup>,Decr 3,Rollin's ancient Hist Vol. 2<sup>d</sup>
,E.7.68,Spectator Vol. 3<sup>d</sup> on M<sup>r</sup> Gregory's,Dec<sup>r</sup> 3,Spectator Vol. 3<sup>d</sup>
,,order by Robt Grant.,,
19,E.7.68,Spectator Vol 2<sup>d</sup>,Decr 8,Spectator Vol 2<sup>d</sup>
,K.5.28,Plinies Letters Vol. 1<sup>st</sup> on M<sup>r</sup>,Dec<sup>r</sup> 8,Plinie's Letters Vol. 1<sup>st</sup>
,,Gregories order by Willm Reid.,,
21,J.5.12,Sharp′s Surgery,Decr 5,Sharp's Surgery
,,by Thomas Simson,,
21,E.3.6,Herodotus Gr. Lat. on prin<sup>ll</sup>,Decr 31,Herodotus Gr Lat
,,Murison′s order by,,
,,Robt: Watson,,
21,J.5.1,Rollin′s ancient Hist. Vol. 1<sup>st</sup>,feb. 27,Rollins ancient Hist. Vol. 1<sup>st</sup>
,E.7.29,Master key to popery 3 Voll on,Jan. 10,Master key to popery 3 Voll
,,Mr Rymers order by,,
,,Ja: Rymer,,
21,C 2.24,Cudworth′s Intellect. System,Dec<sup>r</sup> 1,Cudworth's Intellect. System.
,E.8.50,"Discourse of Human Reason, on M<sup>r</sup>",Dec<sup>r</sup> 1,Discourse of Hum. Reason
,,Wilsons order by,,
,,David McGibbon.,,
22,E.6.80,Guardian Vol. 2<sup>d</sup>,Jan. 30,Guardian Vol. 2<sup>d</sup>
,E.6.7,Presbyterian Eloquence on M<sup>r</sup>,Jan 30,Presbyterian Eloquence
,,Gregories order by Geo Dempster,,
22,A.4.20,Xenophontis Opera on M<sup>r</sup> Gre-,Jan 16,Xenophontis Opera
,,gories order by Rob: Anstruther,,
,,,,
