1750,(144),Borrowed,1750,Returned
,p. 115,,,
Decr 24,A.3.,Popes Hom. Iliad V. 3<sup>d</sup> & 4<sup>th</sup> on,Decr 26,Popes Hom. Iliad V. 3<sup>d</sup> & 4<sup>th</sup>
,,Mr Gregories order by Ja. Thomson,,
25,J.5.2,Rollins belles Lettres Vol 2<sup>d</sup> on,feb. 7,Rollin's belles Lett V. 2<sup>d</sup>
,,Mr Jo Youngs order by Ja. Thomson,,
26,A.3.,Popes Hom. Iliad Vol 5<sup>th</sup> & 6<sup>th</sup> on,Jan. 23,popes hom. Iliad V. 5<sup>th</sup> & 6<sup>th</sup>
,,Mr J. Youngs order by Ja. Thomson,,
1751,,,,
Jan. 23,K.8,Tom Jones Vol. 1 & 2<sup>d</sup> on M<sup>r</sup>,feb. 7,Tom Jones V. 1 & 2<sup>d</sup>
,,Gregories order by Ja. Thomson,,
feb. 7,K.5.25,Watts Improvemt of þe Mind on,Feb. 25,Watts Improve<sup>t</sup> of þe Mind
,,Mr Jo Young's order by Ja. Thomson,,
9,B.1.4,Gibbs Architecture on Mr Jo,Mar 29,Gibb's Architecture
,,Youngs order by Ja. Thomson,,
12,K.5.30,Martyns Virgils Georg. Lat. Eng. on,Mar 23,Martyns Eng. Georgicks
,,Mr Jo Youngs order by Ja. Thomson,,
25,K.8.,Tom Jones Vol 3<sup>d</sup> & 4<sup>th</sup> on M<sup>r</sup>,Mar 11,Tom Jones V. 3<sup>d</sup> & 4<sup>th</sup>
,,Gregories order by Ja. Thomson,,
Mar 15,E.6.37,Socrates Life and memble things on,Apr 24,Socrates' Life & mem. things
,,Mr Jo. Youngs order by Ja. Thomson,,
29,J.1.8,Locks Works Vol 1<sup>st</sup> on M<sup>r</sup>,May 9,Locks Works V. 1<sup>st</sup>
,,Jo Youngs order by Ja. Thomson,,
May 9,J.1.8,Locks Works Vol 1<sup>st</sup>,June 3,Locks Works V. 1<sup>st</sup>
,J.4.11,Watsons Horace Vol. 1<sup>st</sup> on M<sup>r</sup>,June 3,Watson's Horace V. 1<sup>st</sup>
,,Rymers order by James Thomson,,
Oct<sup>br</sup>. 14,K.5.25,Wats Improvement of the Mind,Nov. 30,Watts Improve<sup>t</sup> of þe Mind
,J.3.7,Hooks Roman History Vol: 2<sup>d</sup> on,Nov 30,Hooks Rom. Hist. V 2<sup>d</sup>
,,Mr Rymers order by Ja. Thomson,,
25,K.3.21,Ansons Voyage on Mr Grego-,Decr 17,Ansons Voyage
,,rie's order by Ja. Thomson,,
Nov<sup>r</sup> 30,F.3.13,Wallis s Algebra on Mr Gregorys,Jan. 28,Wallis's Algebra
,,order by Ja. Thomson,,
1752,,,,
Jan. 29,E.7.23,Molieres Plays V 3<sup>d</sup> & 4<sup>th</sup> on,Feb. 18,Moliere's plays V. 3 & 4<sup>th</sup>
,,Mr Rymers order by Ja. Thomson,,
31,C.8.63,Dodwell on þe Immortality of þe Soul,Mar 28,Dodwell on þe Immortality &c
,J.8.50,Hutchisons Ethicks Eng. on M<sup>r</sup>,Apr 10,Hutchisons Ethicks Eng
,,Gregories order by Ja Thomson,,
Feb. 18,J.4.39,Barclay on þe Immateriality of þe Soul,May 4,Barclay's Immateriality 2<sup>vs</sup>
,,2 <sup>vs</sup> on Mr Gregories order by,,
,,Ja. Thomson,,
,,,,
