1748,(7),Borrowed,1748,Returned
Mar. 10,H.4.20,Hammond on þe N. Testament,Mar. 21,Hammond on þe N. Testam<sup>t</sup>
,C.6.25,Luptons Sermons,April 5,Luptons Sermons
,C.6.7,Souths Sermons Vol. 3<sup>d</sup>,Mar. 16,Souths Sermons Vol. 3<sup>d</sup>
,,on Prll Murisons order by,,
,,Robt Balfour Robt: Balfour,,
12,A.3.19,Prior′s Poems,Mar. 30,Priors Poems
,E.7.4,Persian Letters 2 Voll.,Mar. 30,Persian Letters 2 Voll.
,A.5.14,Addisons Works Vol. 2<sup>d</sup>,Mar. 30,Addisons Works Vol. 2<sup>d</sup>
,,on Mr Rymers order by,,
,,Char. Allan,,
12,J.2.20,fflavells Works,Mar. 16,fflavels Works
,J.4.18,Clark on þe Attributes,May 16,Clark on þe Attributes
,J.3.30,Pamphlets No. 7<sup>th</sup>,Mar. 16,Pamphlets N<sup>o</sup> 7<sup>th</sup>
,,on Prinll Murisons order by,,
,,Robt Balfour Rob<sup>t</sup>. Balfour,,
14,J.2.21,Henry on þe Poetical Books,Mar. 17,Henry on þe Poet. Books.
,,on Prinll Murisons order by,,
,,Ja: Jobson,,
14,E.7.54,Malebranch′s search after Truth,May 10,Malebranche's search after truth
,,on Prinll Murisons order by,,
,,George Robertson,,
14,F.3.13,Wallis′s Algebra,Apr 8,Wallis's Algebra
,J.4.22,Blackwells Life of Homer,Mar. 18,Blackwells Life of Homer
,E.7-,Spectator Vol. 7<sup>th</sup> on M<sup>r</sup> Jo.,Apr. 8,Spectator Vol. 7<sup>th</sup>
,,Youngs Order by Thos Wolfe,,
15,E.6.12,Swift′s Miscellanies Vol. 1<sup>st</sup>,Mar. 24,Swift's Miscellanies Vol. 1<sup>st</sup>
,A.4.2,Eachards Hist. of England Vol. 1<sup>st</sup>,Apr. 18,Eachards Hist. of England Vol. 1<sup>st</sup>
,,on Mr Da. Youngs order by,,
,,Robert Grant,,
15,K.4.20,Cousto′s Sufferings in þe Inquisition,May 26,Cousto's Sufferings in þe Inquis.
,J.5.2,Rollins Rom. Hist. Vol. 2<sup>d</sup> C.A:,Mar 18,Rollins Rom. Hist. Vol. 2<sup>d</sup>
,K.6.21,Oriental Tales Vol. 2<sup>d</sup> M:A:,Mar. 22,Oriental Tales Vol. 2<sup>d</sup>
,,Jo: Craigie,,
15,K- -,Walls Logicks on Profr Shaws,Apr. 18,Walls Logicks
,,order by,,
,,Robt Watson,,|-}<noinclude></div></noinclude>
