1748,(16),Borrowed,1748,Returned
Apr. 23,J.8.6,Popes Works Vol. 1<sup>st</sup> on D<sup>r</sup>,May 10,Popes Works Vol. 1<sup>st</sup>
,,Simsons order by,,
,,R. Watson,,
25,K.4.,Universal Hist. Vol. 3<sup>d</sup>,May 16,Universal Hist. Vol. 3<sup>d</sup>
,K.4.9,Watt′s Logick on Mr Gregories,June 6,Watt's Logicks
,,order by,,
,,Rob: Anstruther,,
26,C.8.23,New years Gift,June 6,New Years Gift.
,K.1.2,Univers. Hist: of Arts and Sciences on,June 6,Universal Hist. of Arts &c.
,,Prinll Murisons order by,,
,,Rob: Barron,,
26,E.7.23,Molieres Plays Vol. 5<sup>th</sup> on M<sup>r</sup>,Ap. 28,Moliere's Plays Vol. 5<sup>th</sup>.
,,Gregories order by Will: Reid,,
26,J.5,Rollins ancient Hist. Vol. 7<sup>th</sup>,Ap. 26,Rollins ancient Hist Vol. 7<sup>th</sup>
,K.5.23,Puffendorf′s Introd. to þe Hist. of Europe,May 14,Puffendorfs Introduction.
,,on Mr Gregories order by,,
,,John Duncan,,
27,G.5.13,Sharps Surgery by,May 4,Sharps Surgery
,,Thomas Simson,,
27,J.4.29,History of Marshal Turenne 2 Voll,June 1,History of Turenne 2 Voll
,,on Profr Shaws order by,,
,,Alexr Shaw.,,
28,A.4.20,Xenophon′s Works on Prinll,May 10,Xenophons Works
,,Murisons order by,,
,,Geo Robertson,,
28,J.5.,Rollins ancient Hist. Vol. 7<sup>th</sup>,May 9,Rollins ancient Hist. V. 7<sup>th</sup>.
,,on Mr Gregories order Ap. 26,,
,,by John Duncan,,
28,E.7.23,Moliere′s Plays Vol 7<sup>th</sup>,May 7,Molieres plays Vol. 7<sup>th</sup>
,J.5,Rollins Belles Lett: Vol. 1<sup>st</sup> on,May 16,Rollin's Belles Lett. Vol. 1<sup>st</sup>
,,Mr Gregories order by Will: Reid,,
28,J.5.29,Warburton′s Divine Legation 3 Tomes,June 1,Warburtons Div. Legat. 3 Tom<sup>s</sup>
,,by p<sup>r</sup> S Andr Shaw,,
29,J.5.2,Rollins Belles Lettres Vol. 4<sup>th</sup>,May 12,Rollins Belles Lett. V. 4<sup>th</sup>
,K.3.,Varenius′ Geography 2 Voll.,June 5,Varenius' Geogr. 2 Voll.
,,on Mr Gregories order by,,
,,David McGibbon.,,
29,K.,ffosters Sermons Vol 4<sup>th</sup> on,May 10,ffosters Sermons Vol 4<sup>th</sup>
,,Prinll Murisons order by,,
,,George Robertson,,
,,,,
