1750,(138),Borrowed,1750,Returned
,p. 103,,,
Nov<sup>r</sup> 17,J.5.2,Rollins belles Lettres Vol 2<sup>d</sup> on,Decr 21,Rollins belles Lett<sup>r</sup> v. 2<sup>d</sup>
,,prinll Murison's order by Andr Hutton,,
Decr 21,A.5.11,Woolastans Religion of Nature,Mar. 8,Woolastons Relig<sup>n</sup> of Nature
,,on profr Shaws order by And Hutton,,
22,K.3.16,Popes Essays on Man and Critm on,Jan. 22,Popes Essay on Man & Crit.
,,prinll Murisons order by Andr Hutton,,
1751,,,,
Jan. 5,D.3.13,Bezae N. Test. Gr Lat. on prin.,Jan 28,Bezae N. Test. Gr Lat.
,,Murisons order by Andrew Hutton,,
28,C.6.15,N. Testament Gr. and Eng. 2<sup>vs</sup> on prinll,feb. 25,N. Testam<sup>t</sup> GR. Eng 2 V<sup>s</sup>
,,Murisons order by Andrw Hutton,,
Feb. 13,K.4.14,Universal History Vol 4<sup>th</sup> on,Mar 30,Universal hist. V. 4<sup>th</sup>
,,Mr Rymers order by Andrw Hutton,,
21,K.7.25,Hartcliffe on moral and Intell Virtues,Mar 22,Hartcliffe on m. & int. Virtues
,,on profr Shaws order by Andr Hutton,,
Mar 8,E.5.24,Shaftsburys Characteristicks V. 2<sup>d</sup> on,Apr 5,Shaftsbury's Charact. V. 2<sup>d</sup>
,,profr Shaws order by Andr Hutton,,
30,J.4.21,Sykes on Nat. and reveald Religion on,Apr 24,Sykes on Nat. & rev. Religion
,,Dr Hadows order by Andr Hutton,,
Apr 16,C.8.42,Blackwells Ratio Sacra on,Apr 24,Blackwells Ratio Sacra
,,prin. Murisons order by Andr Hutton,,
Decr 3,L.6.14,Conybeare agt Tindal,Feb. 19,Conybeare ag<sup>t</sup> Tindal
,L.6.15,Leland agt Tindal 2<sup>vs</sup> on,Jan 22,Leland ag<sup>t</sup> Tindal 2<sup>vs.</sup>
,,profr Shaws order by Andr Hutton,,
9,J.3.18,Xenophon. de Cyri Expeditio p Hutchn,feb. 3,Xenophon de Cyri Exped <sup>2.</sup>
1752,,on profr Shaw's order by Andr Hutton,,
Jan 15,C.3.16,Bellarmini Op. V. 2<sup>d</sup> on pr.,Jan. 17,Bellarmini Op. V. 2<sup>d</sup>
,,Murisons order by Andr Hutton,,
24,C.2.22,Socini Scripta polemica on pr Mu-,Jan. 29,Socini Scripta polemica
,,risons order by Andr Hutton,,
25,J.4.43,Turretini Hist. Ecclesiastica on þe,Jan 29,Turretini Hist. Ecclesiasti.
,,above order by Andr Hutton,,
Feb. 10,L.6.16,Moral philosopher V. 1<sup>st</sup> on,Feb. 25,Moral philos<sup>r</sup> V. 1<sup>st.</sup>
,,pr. Murisons order by Andr Hutton,,
22,L.6.17,Sherlock on prophecy on pr.,Mar 13,Sherlock on prophecy
,,Murisons order by Andr Hutton,,
25,L.6.16,Moral Philosophr V. 2 & 3<sup>d</sup> on,Apr 22,Moral Philos<sup>r</sup> V. 2 & 3<sup>d</sup>
,,P. Murisons order by Andr Hutton,,
26,J.5.27,Chapman agt þe Mor. philosr 2<sup>vs</sup>,Apr 22,Chapman ag<sup>t</sup> þe M. phil<sup>r</sup> 2<sup>vs</sup>
,,on pr. Murisons order by Andr Hutton,,
Mar 4,L.2.,Tillotsons Sermons V. 1<sup>st</sup> on prin.,Mar 18,Tillotsons Sermons V. 1<sup>st</sup>
,,Murisons order by Andr Hutton,,
,,,p 158,
,,,,
