1749,(39),Borrowed,1749,Returned
Jan<sup>ry</sup>,E.7.68,Spectator Vol. 4<sup>th</sup> on Mr Grego-,feb. 1,Spectator Vol. 4<sup>th</sup>
,,ry's order by Will: Taylor,,
10,K.7.12,Bp. of Cambrays thoughts on Religion,Jan. 10,Bp of Cambrays Thoughts on Religion
,K.6.17,Religious philosopher Vol. 1<sup>st</sup> & 2<sup>nd</sup>,Jan. 25,Religious Philos. Vol. 1. & 2<sup>d</sup>
,,on prinll Murisons order by,,
,,Ja: Ballingall.,,
10,C.6.25,Luplon′s Sermons,feb. 27,Luplons Sermons
,J.1.8,Locks Works Vol. 3<sup>d</sup> on M<sup>r</sup>,May 8,Locks Works Vol 3<sup>d</sup>
,,Rymers order by Ja: Rymer,,
11,B.6.14,Kircher′s Concordance Heb Gr. Vol. 1<sup>st</sup> & 2<sup>d</sup>,Jan. 13,Kircher's concordance Vol. 1<sup>st</sup>
,,prinll Tullideph,,
11,K.4.14,Universal History Vol. 6<sup>th</sup> on,feb. 1,Universal Hist. Vol. 6<sup>th</sup>
,,Mr Gregories order by Will: Reid,,
11,A.,Popes Iliad Vol. 1<sup>st</sup> & 2<sup>d</sup> on M<sup>r</sup>,Mar. 17,Popes Hom. Iliad Vol 1 & 2<sup>d</sup>
,,Gregories order by,,
,,Joseph McCormick,,
11,K.4.8,Rollins Rom. Hist. Vol. 2<sup>d</sup> on,Jan. 24,Rollins Rom. Hist. Vol. 2<sup>d</sup>
,,profr Shaw's order by Alexr Shaw,,
11,A.6.27,L. Gullivers Travels 2 Voll. on,Mar. 1,L. Gullivers Travells 2 Voll.
,,profr Shaws order by,,
,,Robt: Watson,,
11,K.7.12,Bp Cambrays Thoughts on Religion,feb. 11,Bp of Cambrays Thoughts
,,on prinll Murisons order by,,
,,Ja Ballingal,,
11,A.5.13,Allan Ramsays poems,febr 16,Allan's Ramsays poems
,,"Mills Greek Testament, on M<sup>r</sup>",Mar. 29,Mill's Gr. Testamt.
,,Gregories order by Robert Brown,,
13,J.4.20,Nature display′d Vol. 2<sup>d</sup>,Jan. 24,Nature display'd Vol. 2<sup>d</sup>
,A.6.44,Rapin′s Hist. of Engd Vol. 7<sup>th</sup> on M<sup>r</sup>,Jan. 24,Rapin's Hist. Vol. 7<sup>th</sup>
,,Gregories order by Andw Hutton,,
13,J.6.5,Preceptor Vol. 1<sup>st</sup> on Mr Gre-,Jan. 24,Preceptor Vol. 1<sup>st</sup>
,,gories order by John Duncan,,
13,A.6.44,Rapin′s Hist. of Engd Voll 10 & 11<sup>th</sup>,Feb. 18,Rapin's Hist. of Eng<sup>d</sup> V. 10 & 11<sup>th</sup>
,J.6.8,Sympsons and Gregories Geometry,Decem<sup>r</sup> 11,Sympsons & gregorys Geometry
,K.7.26,Pamphlets N<sup>o</sup>2<sup>d</sup>,Dec<sup>r</sup> 11,pamphlets N<sup>o</sup> 2<sup>d</sup>
,J.3.9,Smiths Opticks 2 Voll.,,
,,by David Young,,
,,,,
