1750,(116),Borrowed,1750,Returned
,p. 106,,,
Apr. 30,K.5.16,Puffendorfs Introduction to Hist.,May 18,puffendorfs Introduction
,F.7.5,Ozanams Tables,May 28,Ozanam's Tables
,J.4.20,Nature displayd Vol. 1<sup>st</sup> on M<sup>r</sup>,May 5,Nature display'd Vol. 1<sup>st</sup>
,,Gregories order by Simon Blair,,
May 5,F.7.55,Keils Astronomy Eng. on Mr Wil-,May 8,Keils Astronomy Eng.
,,sons order by Simon Blair,,
8,J.4.7,Ray on þe Wisdom of God on þe Crean on,May 15,Ray on þe Wisdom of God
,,þe above order for Sim. Blair by Robert Blair,,
18,K.1.1,Le Muets Art of fair building,May 21,Le Muets Art of Building
,J.3.13,Gays Fables Vol 2<sup>d</sup> on Mr Gre-,May 21,Gay's Fables Vol 2<sup>d</sup>
,,gorie's order by Simon Blair,,
21,K.5.16,puffendorfs Introduction to Hist of E,May 28,Puffendorf's Introduction
,J.5.6,Thomsons Works Vol. 1<sup>st</sup> on M<sup>r</sup>,May 28,Thomson's Works V. 1<sup>st</sup>
,,Rymers order for Sim. Blair by Robt Blair,,
Novr 1,J.5.1,Rollins ancient Hist. Vol 12<sup>th</sup> & 13<sup>th</sup>,Novr 8,Rollins ancient Hist. V. 12 & 13<sup>th</sup>
,,on Mr Jo Youngs order by Simon Blair,,
8,E.3.6,Herodoti Hist. Gr Lat,Decr 25,Herodoti Hist. Gr Lat.
,J.4.13,Boyles Lectures abridgd V. 1<sup>st</sup>,Nov. 17,Boyle's Lectures abridg'd V. 1<sup>st</sup>
,K.4.8,Rollins Rom Hist. Vol. 10<sup>th</sup> on M<sup>r</sup>,Nov 17,Rollins ROm. hist. V. 10<sup>th</sup>
,,Gregories order by Robert Blair,,
,,,pag. 135,
1750,(p. 48),,,
May 11,J.4.5,Atterburys Sermons Vol 1<sup>st</sup> & 2<sup>d</sup>,Nov<sup>r</sup> 5,Atterbury's Sermons 2 Voll
,K.4.14,Universal History Vol 8<sup>th</sup> 9<sup>th</sup> & 10<sup>th</sup>,Nov. 5,Universal Hist. V 8 9 & 10<sup>th</sup>
,,Jo. Hill,,
Nov 5,J.4.9,Cheynes principles of Religion,Decr 11,Cheynes principles of Religion
,K.4.14,Universal Hist. Vol. 11 12 & 13<sup>th</sup>,May 19,"Universal Hist. V. 11<sup>th</sup>, 12<sup>th</sup> & 13<sup>th</sup>"
,J.5.21,Derhams physiotheology,Decr 11,Derhams astrotheology
,,Jo. Hill,,
1751,,,,
Jan. 10,C.6.7,Souths Sermons Vol 1<sup>st</sup> & 2<sup>d</sup>,Mar 11,Souths Sermons V. 1 & 2<sup>d</sup>
,,Jo. Hill,,
28,L.,Middletons free Enquiry,Jan. 31,Middletons free Enquiry
Mar 11,C.6.7,Souths Sermons Vol 3<sup>d</sup> & 4<sup>th</sup>,Oct<sup>r</sup> 15,Souths Sermons V. 3 & 4<sup>th</sup>
Octr 9,K.4.14,"Universal. Hist. Vol 144, 15 & 16<sup>th</sup>",Decr 31,"Univers. Hist. V. 14, 15, 16"
,,Jo. Hill,1752,
Decr 20,K.4.14,"Universal History V. 17, 18, 19 & 20",Apr 22,"Universal Hist. V. 17<sup>th</sup> & 18<sup>th</sup>, 19<sup>th</sup> & 20<sup>th</sup>"
1752,,,,
Augt,K.4.14,Universal History V. 19<sup>th</sup> & 20<sup>th</sup>,Mar 27,Universal Hist. V. 19<sup>th</sup> & 20<sup>th.</sup>
1753,,,,
Apr 19,J.4.,Lives of Luther and Calvin,Apr 25,Lives of Luther & Calvin
,,,,
