,,Dr. Wilson Bo[rrowe]d.,,Returned 35
1795,P3.17,Juvenalis opera,,Juvenalis opera -
,BB6.23,Johnsons Poets 3d & 4,,Johnsons Poets 3d & 4
,N6.2,Lucretius 2 Vols,,Lucretius vol 1 Vol. 2d
,B4.29,"Robertsons Hist. of Chas 5th Vol. 1st, 2d, 3, 4th",,Rob. Chs Vth 1st. 3. 3. 4
,-,Sivracs Ital. Dicty.,,Sivrac's Italian Dictonary
,L6.12,Ciceronis opera vol. 4th,,Ciceronis opera. V. 4th V
,P7.26,Helshams Lectures,,Helshams Lectures
,B2.11,Enfields Nat: Philosophy -,--,Enfields Nat: Philosophy
{,A2.1,Annal. Eccles. Baronii,,Annales. Barroni. Vol. 1.
{Galy,S3.9,Fullers Church Histy,,Fullers Church Histy
{,S2.4,La Sainte Bible,,La Sainte Bible
,L.7.63,Epictetus uptoni. 2 Vols.,,Epictetus uptoni Vol. 2d. 1.
,A.1.2,Chrysostomi opera Vol. I,,Chrysostomi opera..
,Q5.24,Bowers History of the Popes 3 vols,,"Bowers History of the Popes 3 vol 1, 2, 3d."
,P4.14,Gibbons Rom. Hist Vol 2d,--,Gibbons Rom. History Vol 2d
,C,Racines Works Vol 1st __,,Racines Works vol 1st.
,E.5.28,Sullivons View of Nature 6 vols,-,Sullvons View of nature 6 vols
,,,,C I. 2d
,BB.3.27,Lorenzo De Medici Vol I. by Roscoe vol 2d,-,Roscoes Life of Lorenzo De Me v:
,E7.24,"Annual Register Vol: 24. 25, 26",--,Annual Register Vol 24. 25. 26
,B7.30,Do vol 26,,26th.
,F8.2,"Johnsons Lives of the Poets Vol: 1, 2, 3d,",5 6 7 8 9,10 Johnsons Poets 1 2 3 5 6 7 8 9 10
,A.6.2,Smolletts History of Engd Vol: 8.9.,-,Smolletts History of Engd vol 8th & 9th
1797,Q5.24,Bowers Histy of the Popes Vol:4.5.6.7,,Bowers Hist of the Popes 5.7.4.6.
,A.8.24,Lettres Juives vol 1. 2. 3. 4 --,--,Letteres Juives vol. 1 2. 3. 4 -
,P3.17,Juvenilis Satyrae Qo.,,Juvenalis Satyrae
,B9.13,Remarques - Octvo - 1754,,Remarques -
,CC.5.26,Esprit de lHistoire Octvo.,,Esprit d'Histoire
,B9.33,Observations sur les Romains,,Observations sur les Romains
[1]799,G,Gilpins Essays on Pic: Beauty 2 [Vol],-,Gilpins Essay on Pic: Beauty
,BB,Do 2 vols .. -,-,Do 2 vols - .
Gal:,A1.6.,Ciceronis opera,,Ciceronis opera
[Ju]ne 14,M.8.10,Poesie del Metastasio Vol 1&2d 3d,__,Metastasio Vol. 1. 2d. 3d __
,,( Mrs Low of Clatto,,
,FF4.1,Coxes memoirs vol 1 & 2d,,Coxes mems. V. 1. 2
,BB.3.19,Gibbons miscellaneous works,Vs. 1-2d,Gibbons Work. Vol. 1 & 2
[...],F7.5...,Moores Travels. 2 Vs...,,Moores Travels 2 vols
? 15,O.8.23,Campbell Lives of the Admirals,V 1.2.3d,CampbellsLives of the Ads. Vs. 1. 2. 3d
21.,AA.9.23,Hannah More on Education 2 vols,-,Han: More on Fem. Educa 2 vols
,R9.14,Pits Virgil 4 vols --,,Pitts Virgil 4 vols.
