1750,132,Borrowed,1750,Returned
Nov<sup>r</sup> 7,J.4.7,Ray on the Wisdom of God on þe Crn,Nov. 14,Ray on the Wisdom of God
,J.6.5,preceptor Vol. 1<sup>st</sup> on Mr Rymers,Nov 14,preceptor V. 1<sup>st</sup>
,,order by Gabriel Lyon,,
15,E6.12,Swifts Miscellanies Vol 3<sup>d</sup>,Nov 29,Swift's Miscell. Vol 3<sup>d</sup>
,K.4.14,Universal Hist. Vol. 2<sup>d</sup>,Nov. 29,Universal Hist. V. 2<sup>d</sup>
,J.4.20,Nature displayd Vol. 1<sup>st</sup> on M<sup>r</sup>,Nov 29,Nature display'd V. 1<sup>st</sup>
,,Rymers order by Gabriel Lyon,,
Decr 6,T.7.42,Woodwards Nat. Hist. of the Earth,Decr 25,Woodwards Nat. hist
,E.6.12,Swifts Miscellanies Vol 4<sup>th</sup> on M<sup>r</sup>,Decr 11,Swifts Miscellanies V 4<sup>th</sup>
,,Rymers order by Gabriel Lyon,,
14,J.7.9,Bragge on the passions,Decr 25,Bragge on þe Passions
,K.5.25,Watts Improvemt of the Mind on M<sup>r</sup>,Jan. 14,Watts Improvement
,,Rymers order by Gabriel Lyon,,
29,J.4.20,Nature displayd Vol 3<sup>d</sup>,Jan. 14,Nature display'd Vol 3<sup>d</sup>
,J.5.21,Derhams physiotheology on M<sup>r</sup>,Jan. 24,Derhams physiotheology
,,Rymers order by Gabriel Lyon,,
1751,,,,
Jan. 14,J.4.13,Boyles Lect. abridgd Vol 1 & 2<sup>d</sup>,Mar 20,Boyles Lectures V. 1 & 2<sup>d</sup>
,,on Mr Rymers order by Ga. Lyon,,
Feb. 27,A.3.,Hawthorndens Works on M<sup>r</sup>,May 7,Hawthorndens Works
,,Rymers order by Ga. Lyon,,
Mar 21,J.4.39,Baxter on þe Immateriality of þe Soul,Apr. 5,Baxter on þe Immateriality 2<sup>vs</sup>
,,2 Voll<sup>s</sup> on Mr Rymers order by,,
,,Ga. Lyon,,
Apr 5,C.2.24,Cudworths Intellectual System on M<sup>r</sup>,May 7,Cudworth's Intell. System
,,Rymers order by Gabriel Lyon,,
Decr 6,A.1.,Platonis Opera Gr Lat,,Platonis opera Gr Lat.
,K.4.8,Rollins Rom. Hist V 1<sup>st</sup> on profr,Jan 15,Rollins Rom. Hist. V. 1<sup>st</sup>
,,Shaw's order by Ga. Lyon,,
1752,,,,
Jan. 10,J.3.7,Hooks Rom. History V. 1<sup>st</sup> on,Mar 19,Hooks Rom. Hist. V. 1<sup>st</sup>
,,Mr Gregories order by Ga. Lyon,,
15,K.4.8,Rollins Rom. Hist. V. 2<sup>d</sup>,Feb. 10,Rollins Rom. Hist. V 2<sup>d</sup>
,A.4.,Th. Aquinates Theologia on P<sup>r</sup>,Jan. 17,Aquinates Theologia
,,Murisons order by Ga Lyon,,
22,J.5.8,Thomsons Works V. 1<sup>st</sup> on pr,Mar 10,Thomsons Works V. 1<sup>st</sup>
,,Murisons order by Ga. Lyon,,
Feb 10,E.1.15,Thucydides Op. Gr Lat,Apr 23,Thucydides Opera Gr Lat.
,K.4.8,Rollins Rom. Hist. V. 3<sup>d</sup> on,Feb. 29,Rollins Rom. Hist. V. 3<sup>d</sup>
,,profr Shaws order by Ga. Lyon,,
20,C.3.6,Bellarmini Opera V. 1<sup>mum</sup>,Feb. 27,Bellarmini opera V. 1<sup>mus</sup>
29,J.5.1,Rollins ancient Hist. V. 5<sup>th</sup> on þe above,Mar 3,Rollins ancient Hist V. 5<sup>th</sup>
,,order for Mr Lyon by Andr Hutton,,
Mar 3,K.4.8,Rollins Rom. Hist. V. 5<sup>th</sup> on the,Mar 10,Rollins Rom. Hist. V. 5<sup>th</sup>
,,above order for G L by Andr Hutton,,
,,,p 136),
,,,,
