1749,(90),Borrowed,1749,Returned
Nov<sup>r</sup> 30,K.7.23,Hierocles in aurea Carmina,Jan. 11,Hierocles in aurea Carmina
,K.3.4,Maclaurins Fluxions Vol. 1<sup>st</sup>,Jan. 11,Maclaurins Fluxions V. 1<sup>st</sup>
,J.3.3,Butlers Analogy on prinll Mu-,Jan. 11,Butlers Analogy
,,risons order by Tho. Bisset,,
Decr 8,J.7.6,Adventures of Jos. Andrews 2 Voll on,Decr 14,Adventures of Jos. Andrews 2 V<sup>s</sup>
,,profr Shaw's order by Tho. Bisset,,
14,A.3.,Popes miscellanies on Mr D.,Jan. 3,pope's Miscellanies
1750,,Youngs order by Tho. Bisset,,
Jan. 11,J.4.21,Sykes on Nat and revealed Religion,Jan. 29,Sykes on Nat & rev Religion
,K.4.3,Maclaurins Fluxions 2 Voll<sup>s</sup>,Apr. 11,Maclaurins ffluxions 2 V<sup>s</sup>
,J.6.4,Plays Vol 1<sup>st</sup> on profr Shaws,Jan. 29,Plays Vol 1<sup>st</sup>
,,order by Thos. Bisset,,
29,J.4.17,Ditton on the Resurrection on profr,Apr. 9,Ditton on þe Resurrection
,,Shaw's order by Thos. Bisset,,
Feb<sup>r</sup> 5,A.1.9,Platonis opera Gr Lat. on D<sup>r</sup>,Apr 24,platonis opera Gr Lat
,,Hadows order by Tho. Bisset,,
Mar. 5,K.3.16,popes Essay on Man and Criticism on,Mar 26,Popes Essay on Man & Crit<sup>m</sup>
,,prinll Murisons order Tho. Bisset,,
April 10,K.6.12,Religious philosopher Vol. 1<sup>st</sup>,Apr 24,Religious philos<sup>r</sup> V. 1<sup>st</sup>
,J.2.4,Euripides Barnesii on prof. Shaws,Apr 24,Euripides Barnesii
,,order by Tho. Bisset,,
1749,,,,
Decr 5,K.4.8,Rollins Rom. Hist. Vol 2<sup>d</sup> on,Decr 18,Rollins Rom Hist. V. 2<sup>d</sup>
,,Mr Rymers order by Robt Dunbar,,
18,E.7.57,Avantures de Telemaque on M<sup>r</sup>,<sup>1750</sup> Jan. 10,Avantures de Telemaq[ue]
,,Rymer's order by Robt Dunbar,,
25,J.2.14,Midletons Life of Cicero Vol 1<sup>st</sup>,Jan. 15,Midletons Life of Cicero V. 1<sup>st</sup>
,J.5.1,Rollins ancient Hist. Vol 6<sup>th</sup> on,<sup>1750</sup> Jan. 10,Rollins ancient Hist. V. 6<sup>th</sup>
,,Mr rymers order by Robt Dunbar,,
1750,,,,
Jan. 8,A.4.20,Xenophontis Opera Gr Lat. on M<sup>r</sup>,Jan. 29,Xenophontis Opera Gr. Lat.
,,Gregories order by Robt Dunbar,,
15,J.2.14,Midletons Life of Cicero Vol 2<sup>d</sup>,Jan. 29,Midletons Life of Cicero V. 2<sup>d</sup>
,J.5.1,Rollins ancient Hist. Vol 7<sup>th</sup> on M<sup>r</sup>,Feb. 7,Rollins ancient Hist. V. 7<sup>th</sup>
,,Rymers order by Robt Dunbar,,
29,J.3.7,Hooks Rom. History Vol 1<sup>st</sup>,Mar 12,Hooks Rom. Hist. V. 1<sup>st</sup>
,A.5.14,Addisons Works Vol 1<sup>st</sup> on,Mar 12,Addisons Works V 1<sup>st</sup>
,,Mr Rymers order by Robt Dunbar,,
Feb. 7,J.6.5,Preceptor Vol 2<sup>d</sup> on Mr Ry-,Mar 28,Preceptor Vol 2<sup>d</sup>
,,mers order by Robt Dunbar,,
Mar 13,K.4.14,Universal History Vol 1<sup>st</sup> on M<sup>r</sup>,Apr. 1,Universal Hist. V. 1<sup>st</sup>
,,Rymers order by Robt Dunbar,,
,,,p. 112),
,,,,
