1749,(48),Borrowed,1749,Returned
Jan. 25,K.4.14,Universal Hist Vol. 4<sup>th</sup> on,ffeb. 6,Universal Hist. Vol. 4<sup>th</sup>
,,prinll Murisons order,,
,,by Mr Hill.,,
ffeb. 6,K.4.14,Universal History Vol. 6<sup>th</sup> on prinll,Mar. 9,Universal Hist. Vol. 6<sup>th</sup>
,,Murisons order by,,
Mar. 9,K.4.14,"Universal History Vol. 1, 2, & 3<sup>d</sup> on",Septr 7,"Universal History Vol. 1<sup>st</sup>, 2<sup>d</sup>, & 3<sup>d</sup> on"
,,prinll Murisons order,,
Nov<sup>r</sup> 3,K.3.2,Anson′s Voyage on profr Shaws,Nov<sup>r</sup> 11,Ansons Voyage
,,order for Mr Hill by Robt: Watson,,
Decr 21,J.5.29,Warburton′s Div. Legation of Mos. V. 2 & 3<sup>d</sup>,Apr 3,Warburtons div Legat<sup>n</sup> V. 2<sup>d</sup> & 3<sup>d</sup>
,,Jo: Hill,,
21,K.4.14,Universal History Vol 7<sup>th</sup> by Jo: Hill,Mar. 6,Universal Hist. Vol 7<sup>th</sup>
23,K.4.14,Universal History Vol 5<sup>th</sup>,Mar 6,Universal hist. Vol 5<sup>th.</sup>
Mar 6,K.4.14,Universal History Vol. 10<sup>th</sup>,Mar 14,Universal Hist Vol 10<sup>th</sup>
,,,(p. 11(),
1749,,,,
Jan. 23,K.4.13,Enquiry into ffaith on profr Shaw's,Jan 23,Enquiry into ffaith
,,order by Duncan McAra,,
23,K.5.26,ffosters Sermons Vol 3 & 4<sup>th</sup> on,Mar. 29,ffosters sermons V. 3 & 4<sup>th</sup>
,,profr Shaws order Duncan Mcara,,
ffeb. 6,E.6.9,Marcus Antoninus Gr Lat,Apr 15,Marcus Antoninus
,K.7.7,Marcus Antoninus Eng. on prinll,apr. 15,Marcus Antoninus Eng.
,,Murisons order by,,
,,Duncan Mcara,,
Mar. 4,K.1.6,Spanhemius Vol. 3<sup>d</sup>,Mar. 17,Spanhemius Vol. 3<sup>d</sup>
,G.2.5,Calvini Institutiones,Mar. 9,Calvini Institutiones
,C.1.6,Episcopii Opera Theol. 2 Voll.,Mar. 7,Episcopii Op. Vol. 1<sup>st</sup> & 2<sup>d</sup>
,C.2.22,Socinni Scripta polemica on prinll,Mar. 7,Socini Scripta polemica
,,Murisons order by,,
,,Duncan Mcara,,
24,J.2.5,Pindari Opera Gr. Lat. Sudorii,Apr 15,Pindari Opera G. Lat sudorii
,J.2.7,Pearson on the Creed,apr. 15,Pearson on þe Creed
,J.6.1,Pamphlets Vol. 1<sup>st</sup> on prin<sup>ll</sup>,Apr 8,pamphlets Vol. 1<sup>st</sup>
,,Murisons order by,,
,,Duncan Mcara,,
Decr 30,K.3.16,Popes Essay on Man and Criticism,Feb. 6,Popes Essay on Man & Crit<sup>m</sup>
Jan. 19,J.5.19,Moss′s Sermons Vol 3<sup>d</sup> & 1<sup>st</sup>,Jan. 22,Moss's Sermons Vol 3<sup>d</sup> & 1<sup>st</sup>
,J.8.30,Guyses Sermons on prin<sup>ll</sup>,Jab. 22,Guyses Sermons
,,Murisons order by Duncan Mcara,,
1750,,,,
Jan. 6,C.1.6,Episcopii Operum Tom. mus,Jan<sup>r</sup> 22,Episcopii op. Tom. 1<sup>mus</sup>
,B.6.5,Dordraiena Synodalia on prinll,Jan. 22,Dordraiena Synodalia
,,Murisons order by Duncan Mcara,,
,,,p. 96,
,,,,
