156,,Mr Cleghorn (118),,
,N6.14,Warton v Hist. of Poetry 1st V,,
,K.5.2,------2nd Vol,,
,O.8.3,Warburtons Legation vol 1.2.3.4.5.,,
,,Hugh Cleghorn,,
,F.6.23.,Recherches sur les Egypt. v.1.2.,,Recherches Sur les Egypt.
,F.6.22,Hist. des Troubaldours 3 T.,,Histoire des Troubadours 3. T.
,Q3.3,McPhearson Disseration,,
,,H.C.,,
Jan. 22nd,O.4.4.,Shaws Analysis of the Galic Lang.,,Shaw's Analysis of Gal.
,,Alexr. Stewart for Mr Cleghorn,,
23,M5.23,Disert. on Eng. Const.,,
Jany. 27,A6.16,Life of Petrarch vol. 1st & 2nd,,
,N6.18,Robertsons C5th. Vol 1st,,Robertson's Vol. 1st.
30,O6.8,Chesterfields letters 1.2nd V.,,Chesterfields Letters 1.2 Vol.
,,Antho. Dow for Mr Cleghorn,,
,Q.8.17,Melanges de Literature V 1st,,
,,two Parts. HC,,returned
Feb 2,E4.6,Irvins Voyage,"""",Irvin's Voyage ---
,O.7.6,Hist. de l Acad. des inscript.,v12,Returned
,,H.C.,,
,P4.26,McPhearsons ori. papers,1.2nd V,McPherson's Papers 2.V.
,P4.27,------ hist. 1.2nd Vol,,D[itt]o history 2 Vols.
14,E2.,Encyclopedie Tom. 7th & 9th,---,Encyclopedie Tom. 7.8
"""",K6.20,Footes Commedies},,
"""",P7.31,Plays 1.2nd Vol},Capt Reig.,
,R7.2,Amelia 1.2.3.4 Vol,-,Amelia 1.2.3.
,L7.36,Julia de Roubigne 1.2},,Julia 2 vols.
G,6.20,Plato Redio,,Plato Redio
27,P8.46,Wallace on the Number of Man.,,Wallace on the Number
,P. .,Chalmers on the Colonies,,Chalmers on the Colonies
28,B7.13,Arabi. N. Enter. 1.2.3.4.,J. Wilson,Arabi. N. Ent. 1.2.3.4th V
,E2.1,Encyclobedia v.1.4.10,,Encyclopedie 1.4.10
,,H.C.,,
