1799,,Dr Hill Bo[rrowe]d,,Returned 11
Nov. 22.,CC.5.20,Rogers Sermons vol. 3. 4.,,Rogers Serm. 3. 4.
,R.4.9,Seckers Do vol. 3. 4. 5,,Seckers 3. 4. 5
,BB.7.45,Moss Do vol 1. 2. 3. 4th,,Moss 1 2 3 4
x,O.6.17,Jortins Sermons Vol. 2. 6.,,
,P.5.5,Sharpes Sermons vol 1 & 2 P. Nicoll,,Sharps Serm. 1. 2.
1800,,,,
,,Maurices Indian Antiquities 6 Vol,,Maurices Indian Antiq 6 vols
March 24,CC.3.12,Boswells life of Johnsons V. I & 2,,Boswells life of Johnsons vol I & 2d
,B.10.14,Flechers Sermons Vol. 1 & 2d Revd Mr Rae,,Flechers Sermons Vol 1 & 2d
,Do,Do vol 1 2. 3 Do,,Do Pos.: vol 1. 2. 3.
April 5th,EE.7.1,Mclaines Sermons,,Maclaines Sermons
,G.8.2,Anaharsis Voyage 3. 4 5. 6th Vol,,Anacharsis Voyage Vol 3. 4. 5. 6.
,D.4?,Cooks Voyages Vol I,,Cooks Voyage Vol. I
,CC.3.19,Ormes History of Indostan vol 2d,,Ormes Histy of Indostan
,N.6.23,Robertsons History of Charles 5th 3 vols,,Robertsons H. of Charles 5 vol 1. 2d
,F.8.2,Johnsons Lives of the poets Vol 1. 2 3. 4th Revd Mr. Bae,,Johnsons Lives of the Poets Vols 1. 2. 3 4d
,FF.6.1,Annual Register vol 1 2 3,,Annual Register Vol 1. 2. 3.
,O.4.4,Fergusons Rom. Histy vol 1 & 2,,Fergusons Rom. History vol 1 & 2d
,N.7.24,Robertsons Histy of Scotland vol 1 & 2d,,Robertsons Histy of Scotland 1 & 2
,C.3.4,Blairs Lectures 3 vols,,Blairs Lectures
,B.3.7,Reids Essays Mr Ramsay - surgeon,,Reids Essays
,FF.5.58,More on Female Education 2 vols Miss Scot,,More on Female Education 2 vols
,N.5.22,Luc de Recher. etc 2 vols,,De Luc Latmosphere vol. 1. 2.
,A.4.4,Voltaire Vol. 2d for Mr. De Luc,,Voltaire vol. 2d
,E.4.25,Pennants tour 2d & 3d for Mr. De Luc,,Pennants Tour Vol 2 & 3d
,C.2.29,Gillies History of Greece 2 vol Rev. Mr. Rae,,Gellies History of Greece 1. 2. vols
,B.7.11,Watsons tracts 3 vols Rev Mr Rae,,Watsons Tracts vols 3
,BB.8.43,Police of Metropolis,,Police of Metropolis
,E.4.8,Coxes Russian Discoveries,,Coxes Russian Discoveries
,S.8.14,Puffendorfi Intro: ad His.,,Puffendorf &
,EE.4.3,Sir W. Jones Workes 3 & 5,,Sir William Jones 3. 5.
,A.4.4,Voltair vol 2d,,Voltaire vol 2d
