1749,(47),Borrowed,1749,Returned
Jan<sup>r</sup> 23,J.4.5,Atterbury′s Sermons Vol. 1<sup>st</sup> on,feb<sup>r</sup> 17,Atterbury's Sermons V. 1<sup>st</sup>
,,profr Shaws order by,,
,,Robt: Watson,,
24,H.6.48,Spanhemius de Gralia Universali,ffeb. 1,Spanhemius de gralia univ.
,B.6.5,Acta Synodalia Dordracena on prinll,feb. 1,Acta Synodalia Dordracena
,,Murisons order by Robt: Watson,,
feb. 7,A.6.23,Weston′s Short hand on Dr Haddow's,May 8,Weston's Short hand
,,order by Robt: Watson,,
13,S.4.35,Rowe′s Works Vol. 2<sup>d</sup> on profr,Mar. 24,Rowe's Works Vol. 2<sup>d</sup>
,,Shaw's order by Robt: Watson,,
17,J.6.3,ffemale Spectator Vol. 4<sup>th</sup> on,May 11,Female Spectator Vol. 4<sup>th</sup>
,,profr Shaw's order by Robt: Watson,,
28,A.5.11,Religion of Nature delineated on profr,Mar. 24,Religion of Nature delineated
,,Shaws order by Robt: Watson,,
Mar 1,J.6.3,ffemale Spectator Vol. 3<sup>d</sup> on,Apr. 12,Female Spectator Vol. 3<sup>d</sup>
,,Mr Shaws order by Robt: Watson,,
13,J.6.16,Burlamaqui′s principles of Nat. Law on,Mar. 29,Burlamaqui's principles of N. Law
,,profr Shaws order by Robt: Watson,,
29,J.2.14,Middletons Life of Cicero 2 Voll. on,Apr. 17,Midleton's Life of Cicero 2 V<sup>s</sup>
,,on prinll Murisons order by,,
,,Robt: Watson,(p. 72),
1749,,,,
Jan. 23,C.6.7,Souths Sermons Vol. 3<sup>d</sup> on prof<sup>r</sup>,feb<sup>r</sup> 13,South's Sermons Vol. 3<sup>d</sup>
,,Shaw's order by George Robertson,,
31,B.3.10,Pool′s Synopsis Criticorum Vol 4<sup>th</sup> p<sup>t</sup> 2,feb 17,Pools Synopsis Vol. 4<sup>th</sup> pt 2<sup>d</sup>
,,on prinll Murison's order by,,
,,George Robertson,,
ffeb. 14,A.1.22,Ciceronis Operum Vol. 2<sup>d</sup> on,May 1,Ciceronis Operum Vol 2<sup>d</sup>
,,prinll Murison's order by,,
,,George Robertson,,
22,A.3.34,Aristotelis Opera on prinll Muri,Mar. 11,Aristotelis Opera
,,son's order by George Robertson,,
22,C.2.24,Cudworths Intellectual System on prin<sup>ll</sup>,April 3,Cudworth's Intellectual System
,,Murison's order by George Robertson,,
Mar. 13,K.7.26,Pamphlets Vol. 6 on profr Shaws,May 1,Pamphlets Vol. 6<sup>th</sup>
,,order by George Robertson,,
14,K.3.16,Popes Essays on Man and Criticism on prinll,May 1,Popes Essays on Man & Crd.
,,Murisons order by George Robertson,,
20,J.5.8,Thomsons Works Vol. 1<sup>st</sup> on prinll,May 8,Thomsons Works Vol. 1<sup>st</sup>
,,Murisons order by George Robertson,p (72),
,,,,
