158,,Dr Rotheram,,
1797,,,,
May 16.,C1.2,Playfairs Chronology,,Playfairs Chronology
,R.7.19,Burkes Sublime ----,,Burke on the Sublime
,E.2.5,Spelmans Glossarium,,Spelmans Glossarium
,FF.8.4.,Leslaeus de rebus gestis ---,,Lesleus de rebus gestis
,P2.14,Forduni Scoti Chronicon 2 Vs.,,Forduns Scoti Chronicon 2 vols
,L3.9.,Spottiswoods Church Hist.,,Spotiswoods Church History
,AA.4.3,Pinkertons History 2 Vols,,Pinkerton's Histy 2 Vols --
,A.5.15,Bernoulli opera 4 vols --,,Bernouli Opera 4 Vol
,Q2.16.,Antiquity of Great Britain,,Antiquity of Great Britain
,Q.334.,Smiths optics 2 Vols ----,,Smiths Optics 2 vols --
,Q5.24,Halleys Tables,,Halleys tables
Gall.,T7.47.,Missale Romanum,,Missale Romanum
Gallery,F.6.17,Seneca Opera ----,,Seneca Opera ----
,S2.2.,Hector Boeth. Hist Scotor.,--,Hecto Boeth. Hist Scotorum
,O3.2.,Belidori Architec. Hydrau. 4 vols,,Belidor. Arch. Hydrauliq. 4 Vols
,BB1.11,Margetts Longitude Tables,--,Margetts Longitude Tables
1797,B4.16,Voyage aux Alpes 1 & 2 Vol.,,Voyage aux Alpes vol 1 & 2
,CC.8.8.,Zeluco 2 vols ---,,Zelucco 2 vols
,CC4.20,Horseleys Newton 5 vols.,,Horseleys Newton 5 vols --
,,Edward 2 vols ----,,(Edward 2 vols scored through) Edward 2 Vols.
,,Berkleys Poems ----,,Berkleys Poems --
Decr. 16.,BB.8.63,Robertsons Astronomy --,,Robertsons Astronomy
,O3.9,Henrys History --- 5 Vols --,,Henrys History 5 vols
,A6.3,Vaillants Travels Vol 1st,---,Vaillants Travels Vol. 1st
,E4.21,Potters Euripides. 1 & 2nd Vol ---,,Potters Euripides
,CC4.15,Masseres Scriptores Logarithmici 2 Vols,,Masseres Script. Logarith. 2 Vols
,AA4.14,Philosophical transactions for 1796,& 1797 --,Philosophical Transactions for 1796 & 1797
,CC9.48,Moore on the French Revolution,Vol 1 & 2,Moores revolution Vol 1st & 2nd
,BB3.28,Stedmans Narrative to Surinam v Ist,,Steedmans Narative Vol 1st
,,Bertrands Mem. vol 1 & 2nd & 3rd,,"Bertrand's Mem. Vols. 1st, 2nd, 3rd."
,P7.15,Walkers Magnetism,,Walker on Magnetism
Gallery,I.5.39.,Clavius - Roman Calendar --,,Clavius roman Calendar
Gall.,A.5.4.,Clavii Responsio,,Clavii Responsio
Gal.,M.2.1.,Clavii opera. Tom. quintus. -,,Clavii Opera Tom 5.
Gal.,A.4.18,Scaliger. de emendatione temporum,,Scaliger de Emendatione temporum
,,Cohun on the Police etc.,,Colquhoun on the Police
,,History of old maids 3 vols,,History of old maids 3 vols
,CC1.9,Bayeri Uranometria,,Bayeri Uranometria
,CC1.10,Bayeri explicatio,,Bayeri Explicatio
,BB.1.9,Flamsteads Historia Celest. Vol. 3rd - Ist,,Flamsteads Historia Celestis V1
,BB.3.28,Steedmans Narative vol.2nd,--,Stedmans Narrative vol. 2nd
,B.2.3,Encyclopedia Brit. Vol. 7th,,Encyclopedie vol 7th
,BB8.52,Wolstoncrafts Letters,,Wolstonecrafts Letters
Augt 22,AA1214,Enticks Dictionary --,,Enticks Dictionary
