80,,Profr Cook,,
1799,,,,
March 16,A.A.5.16,Barruels memoirs v.4th,,
,L5.3.4,Pamphlets ----,,Pamphlets
April 9th,S.7.13.,Plautus Taubmani ---,,Plautus Taubmani
June 8,. . .,Barruels memoirs de,,Barruels memoirs de
,,Jacobinisme 4 vols Majr Scott,,Jacobinisme 4 vols
,E.6.11,Simpsons Algebra --,,Simpsons Algebra ----
,2.3.27,Saundersons Algebra ---,,Saundersons Algebra
11th,L.6.5,l origine des loix 3.v. G.C.,,L'Origine des Loix 3 Vol ---
,CC4.23,Robertsons conic sections,,Robertsons Conic Sections ---
,CC.18,Simpsons Fluxions 2. Vol. C.C.,,Simpsons Fluxions 2 vols
June 12,BB3.25,Huttons math. Dictionary 2 vols,,Huttons Dictionary 2 vols
,,Mr G. Cook --,,
,,Welds Travels ---,,Welds Travels
,,Not entered ----,,
June 26th,BB2.20.,Hearnes Journey etc ----,,Hearnes Journey etc --
,BB3.26,Stedmans narrative vol I plates,,Stedmans narrative Vol Ist
,,Lionel Hervey,,
July 9,B3.21.,Smellies Philos. of natu. History,,Smellies Philosophy of natu. Histy.
,,Mr Martial --,,
,CC10.55,Addisons anecdotes vol 2.3rd,,Addisons anecdotes 6.2.3.
11th,O.2.10,Collection of voyages v.7th,,Collection of Voyages. Vol 7th
,,Mr Marshall,,
24,T.5.4.,Williams on Northern govt.,2v,Williams on northern Gov.
,,Mr Ed. Derril,,
,BB10.98,The Young Philosopher 4 vols,,The Young Philosopher -- 4 Vols
,BBI.,Nordens Travels -- Plates --,,Nordens Travels --
,,Mr Marshall,,
Augt. 22,O.4.15,Robertsons hist. Scotland 2.v,--,Robertsons History of Scotland
,CC.3.35.,Youngs Travels Vol.I. & 2nd,,Youngs Travels vol I.2nd
,CC.3.33.,Diroms Narrative etc,,Diroms Narrative etc
,,Mr Marshall,,
,F.8.2.,Johnsons Lives of the Poets Vol. 1.2.3.,,Johnsons Lives of the Poets
,,M. Wilson,,
,Q3.36,Homeric Odyssee Gr. Lat.,,Homeric Odyssee Gr. Lat.
,B4.16,Nickolsons natu. Philoy 2 vols,,Nicholson's Nat Philosophy 1.2nd
,,Mr Marshall,,
,T5.4.,Williams on north. Govts. 2 vols,,Williams on Hist. Govts. 2 V
,T.5.3.,Chambauds Dictiy Vol Ist. V2,,Chambauds Dicty. V.1 &2
Septr 11,D.3.7,Hawkesworths Voyages v.2&3,,Hawkesworths voy. v.2.3
,BB.3.13,Howard on Lazzarrettos,,Returned
,,Mr Marshall,,
