1749,(94),Borrowed,1749,Returned
,(78),,,
Decr 29,J.5.2,Rollins belles Lettres Vol. 1<sup>st</sup> on,Febr 2,Rollins belles Lettres V. 1<sup>st</sup>
,,Mr D. Young's order by,,
1750,,Rob. Dalgleish,,
Jan. 8,K.3.19,Youngs Night thoughts on M<sup>r</sup>,Jan. 30,Youngs Night Thoughts
,,Rymers order by Rob. Dalgleish,,
20,K.7.15,Watts on þe Passions on Mr Gre-,Feb. 23,Watts on þe passions
,,gorie's order by Rob. Dalgleish,,
30,J.5.22,Derhams Astrotheology on M<sup>r</sup>,Feb. 15,Derhams astrotheology
,,Rymers order by Rob. Dalgleish,,
Feb. 2,A.6.42,procedure etc. of hum. understanding on,Apr. 7,procedure &c. of hum. Underst.
,,Mr D. Youngs order by Rob. Dalgleish,,
15,K.4.14,Universal History Vol 4<sup>th</sup> on M<sup>r</sup>,Mar 3,Universal Hist. Vol. 4<sup>th</sup>
,,Rymer's order by Rob. Dalgleish,,
23,J.5.2,Rollins belles Lettres Vol. 4<sup>th</sup> on,Apr 30,Rollins belles Lettres V 4<sup>th</sup>
,,Mr D. Youngs order by Rob Dalgliesh,,
Mar 20,E.6.43,Bradleys planting and Gardening on M<sup>r</sup>,Apr 25,Bradleys planting & Gardening
,,Gregories order by Rob Dalgleish,,
Novr 15,K.2.10,Lovates Trial on prinll Murisons,Decr 3,Lovate's Trial
,,order by Rob. Dalgleish,,
16,A.5.11,Woolastons Religion of Nature on,Decr 21,Woolaston's Rel<sup>n</sup>. of Nature
,,Dr Hadow's order by Rob. Dalgleish,,
20,E.6.52,Cicero de Natura Deorum Davisii on D<sup>r</sup>,Decr 20,Cicero de Natura Deorum.
1750,,Hadows order by Rob. Dalgleish,(p. 139),
Jan. 3,J.5.1,Rollins ancient Hist. Vol. 1<sup>st</sup> on,Jan. 17,Rollins ancient Hist. Vol. 1<sup>st</sup>
,,Mr Gregories ordere by William Duncan,,
17,B.3.7,Biblia Graeca Septuagint,Mar 26,Biblia Graeca Septuagint.
,J.5.1,Rollins ancient Hist. Vol. 2<sup>d</sup>,feb. 28,Rollins ancient hist. V. 2<sup>d</sup>
,K.4.8,Rollins Rom. Hist. Vol. 3<sup>d</sup> on M<sup>r</sup>,feb. 18,Rollins Rom hist. V. 3<sup>d</sup>
,,Wilsons order by William Duncan,,
ffeb. 28,J.5.1,Rollins ancient History Vol 5<sup>th</sup>,Apr. 10,Rollins ancient Hist. V. 5<sup>th</sup>
,K.4.8,Rollins Rom. Hist. Vol. 4<sup>th</sup> on,Apr. 10,Rollins Rom. Hist. Vol 4<sup>th.</sup>
,,Mr Rymers order by William Duncan,,
April 11,K.4.8,Rollins Rom. Hist. Vol 5<sup>th</sup>,May 30,Rollins Rom. Hist. V. 5<sup>th</sup>
,J.5.1,Rollins ancient Hist. Vol 8<sup>th</sup>,May 30,Rollins ancient hist. V. 8<sup>th</sup>
,J.5.2,Rollins belles Lettres Vol 1<sup>st</sup> on M<sup>r</sup>,May 30,Rollins belles Lettres V. 1<sup>st</sup>
,,Rymers order by William Duncan,,
Oct<sup>r</sup> 23,J.5.1,Rollins ancient Hist. Vol 3<sup>d</sup>,Nov<sup>r</sup> 13,Rollins ancient hist. V. 3<sup>d</sup>
,J.4.2,Life of Homer on Mr Gregories,Nov. 13.,Life of Homer
,,order by William Duncan,,
Nov. 13,J.2.3,Burnets Hist. of the Reformation V. 1<sup>st</sup>,Decr 12,Burnets Hist. of Ref<sup>n</sup> V. 1<sup>st</sup>
,J.4.3,Gibbs Short-writing,Decr 12,Gibb's Short writing
,A.3.,Popes Hom. Odyssee V. 1<sup>st</sup> on M<sup>r</sup>,Decr 12,Popes Hom. Odyssee V. 1<sup>st</sup>
,,Jo Youngs order by William Duncan,,
,,,p. 143,
,,,,
